case_study,model,approach,allowed_interval_s,actionable_rate,too_early_rate,too_late_rate,missed_rate,warning_rate
huron,internvl,appod,3,0.16709183673469385,0.6721938775510203,0.11224489795918367,0.04846938775510204,0.951530612244898
huron,internvl,appod,4,0.16709183673469385,0.6721938775510203,0.11224489795918367,0.04846938775510204,0.951530612244898
huron,internvl,appod,5,0.20790816326530612,0.6313775510204082,0.11224489795918367,0.04846938775510204,0.951530612244898
huron,llava,appfr,1,0.036989795918367346,0.7793367346938775,0.11479591836734694,0.06887755102040816,0.9311224489795918
huron,llava,appfr,2,0.10076530612244898,0.7155612244897959,0.11479591836734694,0.06887755102040816,0.9311224489795918
huron,llava,appfr,3,0.15816326530612246,0.6581632653061225,0.11479591836734694,0.06887755102040816,0.9311224489795918
huron,llava,appfr,4,0.17091836734693877,0.6454081632653061,0.11479591836734694,0.06887755102040816,0.9311224489795918
huron,llava,appfr,5,0.1913265306122449,0.625,0.11479591836734694,0.06887755102040816,0.9311224489795918
huron,llava,appod,1,0.03443877551020408,0.798469387755102,0.10459183673469388,0.0625,0.9375
huron,llava,appod,2,0.09821428571428571,0.7346938775510204,0.10459183673469388,0.0625,0.9375
huron,llava,appod,3,0.1607142857142857,0.6721938775510203,0.10459183673469388,0.0625,0.9375
huron,llava,appod,4,0.1721938775510204,0.6607142857142857,0.10459183673469388,0.0625,0.9375
huron,llava,appod,5,0.19260204081632654,0.6403061224489796,0.10459183673469388,0.0625,0.9375
huron,qwen,appfr,1,0.04336734693877551,0.38010204081632654,0.11224489795918367,0.46428571428571425,0.5357142857142857
huron,qwen,appfr,2,0.07015306122448979,0.35331632653061223,0.11224489795918367,0.46428571428571425,0.5357142857142857
huron,qwen,appfr,3,0.09693877551020408,0.32653061224489793,0.11224489795918367,0.46428571428571425,0.5357142857142857
huron,qwen,appfr,4,0.09821428571428571,0.3252551020408163,0.11224489795918367,0.46428571428571425,0.5357142857142857
huron,qwen,appfr,5,0.10714285714285714,0.3163265306122449,0.11224489795918367,0.46428571428571425,0.5357142857142857
huron,qwen,appod,1,0.03954081632653061,0.6658163265306123,0.1211734693877551,0.17346938775510204,0.826530612244898
huron,qwen,appod,2,0.08545918367346939,0.6198979591836734,0.1211734693877551,0.17346938775510204,0.826530612244898
huron,qwen,appod,3,0.11989795918367346,0.5854591836734694,0.1211734693877551,0.17346938775510204,0.826530612244898
huron,qwen,appod,4,0.12372448979591837,0.5816326530612245,0.1211734693877551,0.17346938775510204,0.826530612244898
huron,qwen,appod,5,0.1326530612244898,0.5727040816326531,0.1211734693877551,0.17346938775510204,0.826530612244898
pal,internvl,appfr,1,0.20138888888888887,0.32291666666666663,0.3993055555555555,0.07638888888888888,0.9236111111111112
pal,internvl,appfr,2,0.20138888888888887,0.32291666666666663,0.3993055555555555,0.07638888888888888,0.9236111111111112
pal,internvl,appfr,3,0.20138888888888887,0.32291666666666663,0.3993055555555555,0.07638888888888888,0.9236111111111112
pal,internvl,appfr,4,0.2534722222222222,0.27083333333333337,0.3993055555555555,0.07638888888888888,0.9236111111111112
pal,internvl,appfr,5,0.2569444444444445,0.2673611111111111,0.3993055555555555,0.07638888888888888,0.9236111111111112
pal,internvl,appod,1,0.20833333333333331,0.3333333333333333,0.3645833333333333,0.09375,0.90625
pal,internvl,appod,2,0.20833333333333331,0.3333333333333333,0.3645833333333333,0.09375,0.90625
pal,internvl,appod,3,0.21875,0.32291666666666663,0.3645833333333333,0.09375,0.90625
pal,internvl,appod,4,0.2638888888888889,0.2777777777777778,0.3645833333333333,0.09375,0.90625
pal,internvl,appod,5,0.2708333333333333,0.27083333333333337,0.3645833333333333,0.09375,0.90625
pal,llava,appfr,1,0.05208333333333333,0.2743055555555556,0.19791666666666666,0.4756944444444444,0.5243055555555556
pal,llava,appfr,2,0.05208333333333333,0.2743055555555556,0.19791666666666666,0.4756944444444444,0.5243055555555556
pal,llava,appfr,3,0.05208333333333333,0.2743055555555556,0.19791666666666666,0.4756944444444444,0.5243055555555556
pal,llava,appfr,4,0.10069444444444443,0.22569444444444442,0.19791666666666666,0.4756944444444444,0.5243055555555556
pal,llava,appfr,5,0.13194444444444445,0.19444444444444445,0.19791666666666666,0.4756944444444444,0.5243055555555556
pal,llava,appod,1,0.0625,0.24305555555555555,0.16666666666666666,0.5277777777777778,0.4722222222222222
pal,llava,appod,2,0.0625,0.24305555555555555,0.16666666666666666,0.5277777777777778,0.4722222222222222
pal,llava,appod,3,0.0798611111111111,0.22569444444444442,0.16666666666666666,0.5277777777777778,0.4722222222222222
pal,llava,appod,4,0.0798611111111111,0.22569444444444442,0.16666666666666666,0.5277777777777778,0.4722222222222222
pal,llava,appod,5,0.09722222222222221,0.20833333333333331,0.16666666666666666,0.5277777777777778,0.4722222222222222
pal,qwen,appfr,1,0.03125,0.2048611111111111,0.048611111111111105,0.7152777777777778,0.2847222222222222
pal,qwen,appfr,2,0.03125,0.2048611111111111,0.048611111111111105,0.7152777777777778,0.2847222222222222
pal,qwen,appfr,3,0.041666666666666664,0.19444444444444442,0.048611111111111105,0.7152777777777778,0.2847222222222222
pal,qwen,appfr,4,0.059027777777777776,0.17708333333333331,0.048611111111111105,0.7152777777777778,0.2847222222222222
pal,qwen,appfr,5,0.06944444444444445,0.16666666666666666,0.048611111111111105,0.7152777777777778,0.2847222222222222
pal,qwen,appod,1,0.17708333333333331,0.3333333333333333,0.2013888888888889,0.2881944444444444,0.7118055555555556
pal,qwen,appod,2,0.17708333333333331,0.3333333333333333,0.2013888888888889,0.2881944444444444,0.7118055555555556
pal,qwen,appod,3,0.19791666666666666,0.3125,0.2013888888888889,0.2881944444444444,0.7118055555555556
pal,qwen,appod,4,0.2847222222222222,0.22569444444444445,0.2013888888888889,0.2881944444444444,0.7118055555555556
pal,qwen,appod,5,0.2986111111111111,0.21180555555555555,0.2013888888888889,0.2881944444444444,0.7118055555555556
