model,approach,history,accuracy_significant_wins,macro_f1_significant_wins,accuracy_win_tier,macro_f1_win_tier,allowed_interval_s,total_events,actionable,actionable_rate,too_early,too_early_rate,too_late,too_late_rate,missed,missed_rate,warning,warning_rate
internvl,appod,H02,4,2,2,1,1,86,6,0.0697674418604651,62,0.7209302325581395,11,0.127906976744186,7,0.0813953488372093,79,0.9186046511627908
internvl,appod,H02,4,2,2,1,2,86,9,0.1046511627906976,59,0.686046511627907,11,0.127906976744186,7,0.0813953488372093,79,0.9186046511627908
internvl,appod,H02,4,2,2,1,3,86,14,0.1627906976744186,54,0.627906976744186,11,0.127906976744186,7,0.0813953488372093,79,0.9186046511627908
internvl,appod,H02,4,2,2,1,4,86,15,0.1744186046511628,53,0.6162790697674418,11,0.127906976744186,7,0.0813953488372093,79,0.9186046511627908
internvl,appod,H02,4,2,2,1,5,86,17,0.1976744186046511,51,0.5930232558139535,11,0.127906976744186,7,0.0813953488372093,79,0.9186046511627908
internvl,appod,H04,2,2,4,1,1,86,6,0.0697674418604651,62,0.7209302325581395,12,0.1395348837209302,6,0.0697674418604651,80,0.9302325581395348
internvl,appod,H04,2,2,4,1,2,86,8,0.0930232558139534,60,0.6976744186046512,12,0.1395348837209302,6,0.0697674418604651,80,0.9302325581395348
internvl,appod,H04,2,2,4,1,3,86,13,0.1511627906976744,55,0.6395348837209303,12,0.1395348837209302,6,0.0697674418604651,80,0.9302325581395348
internvl,appod,H04,2,2,4,1,4,86,15,0.1744186046511628,53,0.6162790697674418,12,0.1395348837209302,6,0.0697674418604651,80,0.9302325581395348
internvl,appod,H04,2,2,4,1,5,86,18,0.2093023255813953,50,0.5813953488372093,12,0.1395348837209302,6,0.0697674418604651,80,0.9302325581395348
internvl,appod,H10,1,1,5,2,1,86,6,0.0697674418604651,63,0.7325581395348837,12,0.1395348837209302,5,0.0581395348837209,81,0.9418604651162792
internvl,appod,H10,1,1,5,2,2,86,10,0.1162790697674418,59,0.686046511627907,12,0.1395348837209302,5,0.0581395348837209,81,0.9418604651162792
internvl,appod,H10,1,1,5,2,3,86,14,0.1627906976744186,55,0.6395348837209303,12,0.1395348837209302,5,0.0581395348837209,81,0.9418604651162792
internvl,appod,H10,1,1,5,2,4,86,16,0.1860465116279069,53,0.6162790697674418,12,0.1395348837209302,5,0.0581395348837209,81,0.9418604651162792
internvl,appod,H10,1,1,5,2,5,86,18,0.2093023255813953,51,0.5930232558139535,12,0.1395348837209302,5,0.0581395348837209,81,0.9418604651162792
internvl,appod,H12,1,1,5,2,1,86,5,0.0581395348837209,63,0.7325581395348837,15,0.1744186046511628,3,0.0348837209302325,83,0.9651162790697676
internvl,appod,H12,1,1,5,2,2,86,10,0.1162790697674418,58,0.6744186046511628,15,0.1744186046511628,3,0.0348837209302325,83,0.9651162790697676
internvl,appod,H12,1,1,5,2,3,86,13,0.1511627906976744,55,0.6395348837209303,15,0.1744186046511628,3,0.0348837209302325,83,0.9651162790697676
internvl,appod,H12,1,1,5,2,4,86,15,0.1744186046511628,53,0.6162790697674418,15,0.1744186046511628,3,0.0348837209302325,83,0.9651162790697676
internvl,appod,H12,1,1,5,2,5,86,17,0.1976744186046511,51,0.5930232558139535,15,0.1744186046511628,3,0.0348837209302325,83,0.9651162790697676
internvl,appod,H14,5,2,1,1,1,86,7,0.0813953488372093,59,0.686046511627907,12,0.1395348837209302,8,0.0930232558139534,78,0.9069767441860463
internvl,appod,H14,5,2,1,1,2,86,9,0.1046511627906976,57,0.6627906976744186,12,0.1395348837209302,8,0.0930232558139534,78,0.9069767441860463
internvl,appod,H14,5,2,1,1,3,86,13,0.1511627906976744,53,0.6162790697674418,12,0.1395348837209302,8,0.0930232558139534,78,0.9069767441860463
