model,approach,history,history_frames,warning_result,missed_result,too_late_result
llava,appod,H06,6,73/86 (84.88%; 95% CI 75.84–90.95%),13/86 (15.12%; 95% CI 9.05–24.16%),8/86 (9.30%; 95% CI 4.79–17.30%)
llava,appod,H08,8,70/86 (81.40%; 95% CI 71.89–88.21%),16/86 (18.60%; 95% CI 11.79–28.11%),8/86 (9.30%; 95% CI 4.79–17.30%)
llava,appod,H10,10,72/86 (83.72%; 95% CI 74.51–90.05%),14/86 (16.28%; 95% CI 9.95–25.49%),9/86 (10.47%; 95% CI 5.60–18.71%)
llava,appod,H12,12,70/86 (81.40%; 95% CI 71.89–88.21%),16/86 (18.60%; 95% CI 11.79–28.11%),7/86 (8.14%; 95% CI 4.00–15.86%)
llava,appod,H14,14,72/86 (83.72%; 95% CI 74.51–90.05%),14/86 (16.28%; 95% CI 9.95–25.49%),10/86 (11.63%; 95% CI 6.44–20.10%)
llava,appod,H16,16,70/86 (81.40%; 95% CI 71.89–88.21%),16/86 (18.60%; 95% CI 11.79–28.11%),10/86 (11.63%; 95% CI 6.44–20.10%)
llava,appod,H18,18,72/86 (83.72%; 95% CI 74.51–90.05%),14/86 (16.28%; 95% CI 9.95–25.49%),9/86 (10.47%; 95% CI 5.60–18.71%)
llava,appod,H20,20,72/86 (83.72%; 95% CI 74.51–90.05%),14/86 (16.28%; 95% CI 9.95–25.49%),9/86 (10.47%; 95% CI 5.60–18.71%)
llava,appod,H22,22,74/86 (86.05%; 95% CI 77.18–91.83%),12/86 (13.95%; 95% CI 8.17–22.82%),10/86 (11.63%; 95% CI 6.44–20.10%)
llava,appod,H24,24,74/86 (86.05%; 95% CI 77.18–91.83%),12/86 (13.95%; 95% CI 8.17–22.82%),11/86 (12.79%; 95% CI 7.29–21.47%)
llava,appod,H26,26,73/86 (84.88%; 95% CI 75.84–90.95%),13/86 (15.12%; 95% CI 9.05–24.16%),11/86 (12.79%; 95% CI 7.29–21.47%)
llava,appod,H28,28,71/86 (82.56%; 95% CI 73.20–89.14%),15/86 (17.44%; 95% CI 10.86–26.80%),9/86 (10.47%; 95% CI 5.60–18.71%)
llava,appod,H30,30,70/86 (81.40%; 95% CI 71.89–88.21%),16/86 (18.60%; 95% CI 11.79–28.11%),9/86 (10.47%; 95% CI 5.60–18.71%)
llava,appod,H32,32,69/86 (80.23%; 95% CI 70.60–87.28%),17/86 (19.77%; 95% CI 12.72–29.40%),8/86 (9.30%; 95% CI 4.79–17.30%)
qwen,appfr,H02,2,67/86 (77.91%; 95% CI 68.05–85.38%),19/86 (22.09%; 95% CI 14.62–31.95%),8/86 (9.30%; 95% CI 4.79–17.30%)
qwen,appfr,H04,4,53/86 (61.63%; 95% CI 51.06–71.20%),33/86 (38.37%; 95% CI 28.80–48.94%),5/86 (5.81%; 95% CI 2.51–12.90%)
qwen,appfr,H06,6,55/86 (63.95%; 95% CI 53.41–73.30%),31/86 (36.05%; 95% CI 26.70–46.59%),11/86 (12.79%; 95% CI 7.29–21.47%)
qwen,appfr,H08,8,53/86 (61.63%; 95% CI 51.06–71.20%),33/86 (38.37%; 95% CI 28.80–48.94%),8/86 (9.30%; 95% CI 4.79–17.30%)
qwen,appfr,H10,10,54/86 (62.79%; 95% CI 52.23–72.25%),32/86 (37.21%; 95% CI 27.75–47.77%),9/86 (10.47%; 95% CI 5.60–18.71%)
qwen,appfr,H12,12,55/86 (63.95%; 95% CI 53.41–73.30%),31/86 (36.05%; 95% CI 26.70–46.59%),9/86 (10.47%; 95% CI 5.60–18.71%)
qwen,appfr,H14,14,50/86 (58.14%; 95% CI 47.58–68.00%),36/86 (41.86%; 95% CI 32.00–52.42%),8/86 (9.30%; 95% CI 4.79–17.30%)
qwen,appfr,H16,16,52/86 (60.47%; 95% CI 49.90–70.14%),34/86 (39.53%; 95% CI 29.86–50.10%),10/86 (11.63%; 95% CI 6.44–20.10%)
