approach,history,history_frames,metric,friedman_holm_p,model_1,model_2,n_pairs,wilcoxon_statistic,raw_p,median_difference_model1_minus_model2,rank_biserial_model1_minus_model2,holm_p,significant,significant_better_model
appfr,H08,8,accuracy,3.287574445631297e-05,qwen,llava,25,38.0,0.0003764033317565918,0.05617455896007428,0.7661538461538462,0.0007528066635131836,True,qwen
appfr,H08,8,accuracy,3.287574445631297e-05,internvl,llava,25,48.0,0.0012963414192199707,-0.11446945337620573,-0.7046153846153846,0.0012963414192199707,True,llava
appfr,H08,8,macro_f1,0.03109954507971247,qwen,internvl,25,63.0,0.006129205226898193,0.06188718423675449,0.6123076923076923,0.012258410453796387,True,qwen
appfr,H08,8,macro_f1,0.03109954507971247,qwen,llava,25,157.0,0.8948604464530945,-1.0105169136354064e-05,-0.033846153846153845,0.8948604464530945,False,No difference
appfr,H08,8,macro_f1,0.03109954507971247,internvl,llava,25,56.0,0.0030878782272338867,-0.03025633273403916,-0.6553846153846153,0.00926363468170166,True,llava
appfr,H10,10,accuracy,0.00028857311067605424,qwen,internvl,25,20.0,2.2113323211669922e-05,0.2514934289127837,0.8769230769230769,6.633996963500977e-05,True,qwen
appfr,H10,10,accuracy,0.00028857311067605424,qwen,llava,25,34.0,0.00021690130233764648,0.06130903065451532,0.7907692307692308,0.00043380260467529297,True,qwen
appfr,H10,10,accuracy,0.00028857311067605424,internvl,llava,25,45.0,0.0009118914604187012,-0.18992568125516107,-0.7230769230769231,0.0009118914604187012,True,llava
appfr,H10,10,macro_f1,0.013911344195314803,qwen,internvl,25,48.0,0.0012963414192199707,0.07054649199742177,0.7046153846153846,0.0025926828384399414,True,qwen
appfr,H10,10,macro_f1,0.013911344195314803,qwen,llava,25,152.0,0.7914759516716003,0.0010416977809443173,-0.06461538461538462,0.7914759516716003,False,No difference
appfr,H10,10,macro_f1,0.013911344195314803,internvl,llava,25,35.0,0.0002498030662536621,-0.06050003872845633,-0.7846153846153846,0.0007494091987609863,True,llava
appfr,H12,12,accuracy,2.5038564285631144e-05,qwen,internvl,25,20.0,2.2113323211669922e-05,0.19900908340214696,0.8769230769230769,6.633996963500977e-05,True,qwen
appfr,H12,12,accuracy,2.5038564285631144e-05,qwen,llava,25,27.0,7.49826431274414e-05,0.0705663881151346,0.8338461538461538,0.0001499652862548828,True,qwen
appfr,H12,12,accuracy,2.5038564285631144e-05,internvl,llava,25,43.0,0.0007149577140808105,-0.1339165545087483,-0.7353846153846154,0.0007149577140808105,True,llava
appfr,H12,12,macro_f1,0.006657909058543116,qwen,internvl,25,49.0,0.0014527440071105957,0.07537596753929968,0.6984615384615385,0.0029054880142211914,True,qwen
appfr,H12,12,macro_f1,0.006657909058543116,qwen,llava,25,153.0,0.8119303584098816,0.0003209178843963101,0.05846153846153846,0.8119303584098816,False,No difference
appfr,H12,12,macro_f1,0.006657909058543116,internvl,llava,25,35.0,0.0002498030662536621,-0.05416408442927567,-0.7846153846153846,0.0007494091987609863,True,llava
appfr,H14,14,accuracy,0.0004010647343741942,qwen,internvl,25,28.0,8.803606033325195e-05,0.07683000604960677,0.8276923076923077,0.0001760721206665039,True,qwen
appfr,H14,14,accuracy,0.0004010647343741942,qwen,llava,25,20.0,2.2113323211669922e-05,0.06669428334714167,0.8769230769230769,6.633996963500977e-05,True,qwen
appfr,H14,14,accuracy,0.0004010647343741942,internvl,llava,25,147.0,0.6915188431739807,0.020715630885122405,0.09538461538461539,0.6915188431739807,False,No difference
appfr,H16,16,accuracy,0.00028857311067605424,qwen,internvl,25,30.0,0.00012022256851196289,0.05423406279733589,0.8153846153846154,0.000308990478515625,True,qwen
appfr,H16,16,accuracy,0.00028857311067605424,qwen,llava,25,29.0,0.000102996826171875,0.05994291151284492,0.8215384615384616,0.000308990478515625,True,qwen
appfr,H16,16,accuracy,0.00028857311067605424,internvl,llava,25,142.0,0.5964998602867126,-0.008510638297872353,-0.12615384615384614,0.5964998602867126,False,No difference
appfr,H18,18,accuracy,1.008893770585387e-05,qwen,internvl,25,17.0,1.233816146850586e-05,0.23418573351278604,0.8953846153846153,2.467632293701172e-05,True,qwen
appfr,H18,18,accuracy,1.008893770585387e-05,qwen,llava,25,12.0,4.172325134277344e-06,0.05343827671913837,0.9261538461538461,1.2516975402832031e-05,True,qwen
appfr,H18,18,accuracy,1.008893770585387e-05,internvl,llava,25,33.0,0.0008292057593073193,-0.17506193228736577,-0.78,0.0008292057593073193,True,llava
appfr,H18,18,macro_f1,0.013911344195314803,qwen,internvl,25,49.0,0.0014527440071105957,0.06735394061081945,0.6984615384615385,0.0029054880142211914,True,qwen
appfr,H18,18,macro_f1,0.013911344195314803,qwen,llava,25,147.0,0.6915188431739807,-0.005754359744172988,-0.09538461538461539,0.6915188431739807,False,No difference
appfr,H18,18,macro_f1,0.013911344195314803,internvl,llava,25,37.0,0.00032907724380493164,-0.07270776612420549,-0.7723076923076924,0.000987231731414795,True,llava
appfr,H20,20,accuracy,7.59962785924083e-06,qwen,internvl,25,16.0,1.0073184967041016e-05,0.22213047068538394,0.9015384615384615,2.014636993408203e-05,True,qwen
appfr,H20,20,accuracy,7.59962785924083e-06,qwen,llava,25,13.0,5.245208740234375e-06,0.060066280033140074,0.92,1.5735626220703125e-05,True,qwen
appfr,H20,20,accuracy,7.59962785924083e-06,internvl,llava,25,40.0,0.0004894733428955078,-0.1386271870794078,-0.7538461538461538,0.0004894733428955078,True,llava
