model,approach,history,history_frames,case_study,frames,accuracy,macro_precision,macro_recall,macro_f1,balanced_accuracy
qwen,appod,H18,18,crowdbot,8801,0.4988069537552551,0.35136689113853525,0.34604313486654487,0.3310852559805687,0.34604313486654487
qwen,appod,H18,18,huron,16862,0.8936662317637291,0.4323542428498974,0.4131684015329961,0.42052713041106654,0.4131684015329961
qwen,appod,H18,18,pal,9249,0.586117418099254,0.33947701029314237,0.3611780097162125,0.3321741501560263,0.3611780097162125
qwen,appod,H20,20,crowdbot,8801,0.48039995455061923,0.3514092379388983,0.3452801381759359,0.332925672103054,0.3452801381759359
qwen,appod,H20,20,huron,16862,0.8898114102716167,0.43017104016587066,0.42407377790017514,0.4266714360483972,0.42407377790017514
qwen,appod,H20,20,pal,9249,0.5603849064763758,0.3170806829165547,0.3497394499492627,0.3241854817836163,0.3497394499492627
qwen,appod,H22,22,crowdbot,8801,0.5035791387342348,0.3593827660252416,0.3487066307048326,0.32441472958298573,0.3487066307048326
qwen,appod,H22,22,huron,16862,0.8886846162969991,0.4234058765065612,0.4117752438596103,0.41645172140640324,0.4117752438596103
qwen,appod,H22,22,pal,9249,0.5662233755000541,0.31984352950847,0.3496430670901927,0.3217504735272214,0.3496430670901927
qwen,appod,H24,24,crowdbot,8801,0.5143733666628793,0.36207325131518076,0.3539659522635654,0.3358917547478189,0.3539659522635654
qwen,appod,H24,24,huron,16862,0.8921243031668841,0.428015721374652,0.4099600938139536,0.4168512912549138,0.4099600938139536
qwen,appod,H24,24,pal,9249,0.5661152557033193,0.3203518773052421,0.35120190385161876,0.32428771307067966,0.35120190385161876
qwen,appod,H26,26,crowdbot,8801,0.5289171685035792,0.38213863714719504,0.36769673475569475,0.3502883538338882,0.36769673475569475
qwen,appod,H26,26,huron,16862,0.8881508717827067,0.4199006486079126,0.4060770322653113,0.41143589366155053,0.4060770322653113
qwen,appod,H26,26,pal,9249,0.5836306627743539,0.341385652409159,0.37112333327792085,0.34788501825357804,0.37112333327792085
qwen,appod,H28,28,crowdbot,8801,0.5264174525622088,0.39189413292123637,0.3776035755601314,0.36245397947184177,0.3776035755601314
qwen,appod,H28,28,huron,16862,0.8913533388684616,0.42564886161794835,0.40615522534224796,0.41339922136306134,0.40615522534224796
qwen,appod,H28,28,pal,9249,0.5737917612714888,0.3305204466588633,0.36280748651785316,0.33887531122819636,0.36280748651785316
qwen,appod,H30,30,crowdbot,8801,0.5393705260765822,0.38947069480313373,0.38092759619629496,0.3749252772375073,0.38092759619629496
qwen,appod,H30,30,huron,16862,0.8926580476811766,0.4316119143954322,0.41323751933484987,0.4203349192609315,0.41323751933484987
qwen,appod,H30,30,pal,9249,0.5854686993188453,0.33831021485469065,0.3622548885503927,0.33418878176504957,0.3622548885503927
qwen,appod,H32,32,crowdbot,8801,0.5386887853652994,0.4011154887244707,0.38613838861337485,0.37220061129470516,0.38613838861337485
qwen,appod,H32,32,huron,16862,0.894140671331989,0.42754213328426244,0.3979379993044507,0.4076062692255355,0.3979379993044507
qwen,appod,H32,32,pal,9249,0.6046059033409017,0.35721718185146906,0.37582582635648404,0.34835537691313423,0.37582582635648404
internvl,appfr,H02,2,crowdbot,8801,0.48369503465515284,0.298719961357324,0.32676707623199897,0.24340771291817662,0.32676707623199897
internvl,appfr,H02,2,huron,16862,0.8374451429249199,0.4058567470703231,0.47104380646369287,0.4232561429472909,0.47104380646369287
internvl,appfr,H02,2,pal,9249,0.5082711644502108,0.27981554273114745,0.3164845493128347,0.29312080752190955,0.3164845493128347
internvl,appfr,H04,4,crowdbot,8801,0.47369617088967164,0.25288151044667573,0.31975690315761657,0.22827532314437124,0.31975690315761657
internvl,appfr,H04,4,huron,16862,0.8277784367216225,0.3892328367654409,0.43689639719815054,0.4022160310691365,0.43689639719815054
internvl,appfr,H04,4,pal,9249,0.5207049410747108,0.26300982572017745,0.30849847242549233,0.27219913032780857,0.30849847242549233
internvl,appfr,H06,6,crowdbot,8801,0.4968753550732871,0.3428426698409906,0.3355846214823623,0.24515117474822512,0.3355846214823623
internvl,appfr,H06,6,huron,16862,0.6741786264974499,0.37745194361254253,0.4761007144569702,0.35684243818554134,0.4761007144569702
internvl,appfr,H06,6,pal,9249,0.34728078711212024,0.24642200718084997,0.2613202846038789,0.23980632517079825,0.2613202846038789
internvl,appfr,H08,8,crowdbot,8801,0.48789910237473016,0.338107084446251,0.32921918351169244,0.22772998052309332,0.32921918351169244
internvl,appfr,H08,8,huron,16862,0.6737634918752224,0.37469289831336733,0.4682454382646731,0.35460214634836024,0.4682454382646731
internvl,appfr,H08,8,pal,9249,0.3674991891015245,0.24617166478720984,0.259782631128138,0.2458495930110367,0.259782631128138
internvl,appfr,H10,10,crowdbot,8801,0.49426201568003636,0.1647540052266788,0.3333333333333333,0.2205155501482777,0.3333333333333333
internvl,appfr,H10,10,huron,16862,0.5811291661724588,0.3737031440166186,0.473987711665745,0.3220587696576764,0.473987711665745
internvl,appfr,H10,10,pal,9249,0.3631743972321332,0.3133955291980342,0.3348501743945082,0.2491231235581103,0.3348501743945082
internvl,appfr,H12,12,crowdbot,8801,0.4951710032950801,0.37601059045592167,0.33399656493592284,0.2234517873043207,0.33399656493592284
internvl,appfr,H12,12,huron,16862,0.6243624718301506,0.3740857848630788,0.4731727107840338,0.3378687156900945,0.4731727107840338
internvl,appfr,H12,12,pal,9249,0.3172234836198508,0.23920641619565744,0.25208323761586066,0.22281201614402155,0.25208323761586066
internvl,appfr,H14,14,crowdbot,8801,0.48948983070105667,0.3161754889599539,0.3307861012022724,0.25014926396952303,0.3307861012022724
internvl,appfr,H14,14,huron,16862,0.8187047799786502,0.38492061611699874,0.433997314035339,0.39687484351624863,0.433997314035339
internvl,appfr,H14,14,pal,9249,0.4418856092550546,0.2519897508381357,0.2810730331188346,0.26573748845304923,0.2810730331188346
internvl,appfr,H16,16,crowdbot,8801,0.4925576639018293,0.3240409380237173,0.33263575108997223,0.24196574772657917,0.33263575108997223
internvl,appfr,H16,16,huron,16862,0.8128335903214328,0.381428411779561,0.42985599518215345,0.392321676892182,0.42985599518215345
internvl,appfr,H16,16,pal,9249,0.4461022813277111,0.24376419844687805,0.27659214644190827,0.2588803572916421,0.27659214644190827
internvl,appfr,H18,18,crowdbot,8801,0.49426201568003636,0.33142023714816077,0.33333597569031576,0.2206568562937881,0.33333597569031576
