model,approach,history,bags,median_accuracy,q1_accuracy,q3_accuracy,median_macro_f1,q1_macro_f1,q3_macro_f1
llava,appod,H32,25,0.702075702075702,0.5106109324758843,0.8042553191489362,0.3182084652362528,0.29590047371901124,0.3526682783952206
qwen,appfr,H02,25,0.89058039961941,0.5755627009646302,0.9266487213997309,0.36583628308733496,0.3206426825008732,0.41049993534119394
qwen,appfr,H04,25,0.89058039961941,0.5736334405144694,0.941908713692946,0.3292130201895344,0.31244661096473275,0.3782996957901279
qwen,appfr,H06,25,0.879162702188392,0.5742765273311897,0.9564315352697096,0.32853251923019366,0.3194359570546356,0.367842535787321
qwen,appfr,H08,25,0.8820171265461465,0.5664739884393064,0.9550898203592815,0.32567636549259826,0.31792586304470855,0.3631284916201117
qwen,appfr,H10,25,0.8771929824561403,0.5794212218649518,0.9491017964071856,0.3273313492063492,0.3209536909674461,0.3644334504539973
qwen,appfr,H12,25,0.8810656517602283,0.5755573905862923,0.9497882637628554,0.3300452116728319,0.32015856360032646,0.3641049912596584
qwen,appfr,H14,25,0.879162702188392,0.5558987029030266,0.9534180278281912,0.32627118644067793,0.31262939958592134,0.34995309078816456
qwen,appfr,H16,25,0.8801169590643275,0.5445736434108527,0.9485783424077435,0.32627118644067793,0.3120787973043028,0.35667356903648034
qwen,appfr,H18,25,0.8829686013320647,0.5962014863748968,0.9516031457955233,0.32627118644067793,0.3157961954695167,0.3699354317998385
qwen,appfr,H20,25,0.8858230256898192,0.5986787778695293,0.9509981851179673,0.3261977573904179,0.3131782945736434,0.37804634285099253
qwen,appfr,H22,25,0.8839200761179828,0.6036333608587944,0.9528130671506352,0.3302526186075169,0.31427099433281813,0.36462792026673635
qwen,appfr,H24,25,0.8886774500475737,0.5854665565648225,0.9528130671506352,0.32627118644067793,0.31427099433281813,0.364417445884003
qwen,appfr,H26,25,0.8839200761179828,0.6151940545004129,0.9546279491833031,0.3273858875291568,0.31427099433281813,0.35960179833012207
qwen,appfr,H28,25,0.8915318744053282,0.6143682906688687,0.957047791893527,0.32627118644067793,0.31485132340777505,0.36550338684616746
qwen,appfr,H30,25,0.8858230256898192,0.6347266881028939,0.9576527525710828,0.3261977573904179,0.31427099433281813,0.3674035573771118
qwen,appfr,H32,25,0.8867745004757374,0.6321543408360129,0.9548022598870056,0.32611669200867777,0.31427099433281813,0.3609025914981538
qwen,appod,H02,25,0.8200836820083682,0.5028901734104047,0.8791208791208791,0.3559143559143559,0.32292389544297945,0.3936183979442811
qwen,appod,H04,25,0.7220381110190555,0.5210569777043765,0.8667595171773445,0.34444339115871964,0.3104419324739937,0.3730031315588925
qwen,appod,H06,25,0.826950354609929,0.5359207266721717,0.9074074074074074,0.36357082273112806,0.3247674154753801,0.39330357142857136
qwen,appod,H08,25,0.8326241134751773,0.5119735755573905,0.9032062915910466,0.3577952353579868,0.3228045817424506,0.37916698745092003
qwen,appod,H10,25,0.826950354609929,0.5203488372093024,0.9098608590441621,0.3678583946722748,0.33067192788475386,0.3913488480017037
qwen,appod,H12,25,0.8397163120567376,0.5348980852378011,0.9219600725952813,0.35756579242926584,0.3238754325259516,0.3818734457032329
qwen,appod,H14,25,0.8312056737588652,0.5441630636195183,0.9323607427055703,0.35291952774426,0.3232976653696498,0.3916344232918691
qwen,appod,H16,25,0.8468085106382979,0.5071031500926498,0.9363395225464191,0.3538818292050255,0.3229946524064171,0.38509131388625084
qwen,appod,H18,25,0.8667935299714558,0.5423100679431748,0.9336870026525199,0.33974830629523783,0.3152142692238951,0.3742461430424529
qwen,appod,H20,25,0.8397163120567376,0.5386040765904879,0.9310344827586207,0.3515941060757896,0.3230367364234275,0.39292859763897187
qwen,appod,H22,25,0.8368794326241135,0.5710610932475885,0.926194797338173,0.3335191216053335,0.32518597236981933,0.3846514682427995
qwen,appod,H24,25,0.8382978723404255,0.5626930203829524,0.9249848759830611,0.330066264396319,0.3234591567465251,0.3699482958742218
qwen,appod,H26,25,0.8382978723404255,0.5942122186495177,0.9237749546279492,0.346171324698932,0.3239774787670579,0.37471931862175767
qwen,appod,H28,25,0.8524822695035461,0.5942122186495177,0.9274047186932849,0.3371108610855955,0.3250484502369872,0.37512614936084326
qwen,appod,H30,25,0.8661087866108786,0.5836936380481779,0.9213551119177253,0.34152342556402476,0.32599724896836313,0.38220705003677785
