model,history,history_frames,metric,n_pairs,wilcoxon_statistic,raw_p,median_difference_appfr_minus_appod,rank_biserial_appfr_minus_appod,holm_p,significant,significant_better_approach
llava,H06,6,macro_f1,25,133.0,0.4418373703956604,0.0034565597271352666,0.18153846153846154,1.0,False,No difference
llava,H08,8,accuracy,25,96.0,0.07547956705093384,0.015341701534170138,0.40923076923076923,0.23500609397888184,False,No difference
llava,H08,8,macro_f1,25,157.0,0.8948604464530945,0.0029495583266713754,0.033846153846153845,1.0,False,No difference
llava,H10,10,accuracy,25,83.0,0.03180783987045288,0.021173623714458634,0.48923076923076925,0.22265487909317017,False,No difference
llava,H10,10,macro_f1,25,145.0,0.6528410911560059,0.0028335841593938316,0.1076923076923077,1.0,False,No difference
llava,H12,12,accuracy,25,85.0,0.06329083223334525,0.006392694063926951,0.43333333333333335,0.23500609397888184,False,No difference
llava,H12,12,macro_f1,25,135.0,0.4741646647453308,0.0014995088952028945,0.16923076923076924,1.0,False,No difference
llava,H14,14,accuracy,25,83.0,0.03180783987045288,0.006660323501427201,0.48923076923076925,0.22265487909317017,False,No difference
llava,H14,14,macro_f1,25,134.0,0.457846462726593,-0.0005452200832474219,0.1753846153846154,1.0,False,No difference
llava,H16,16,accuracy,25,78.0,0.021908342838287354,0.010466222645099887,0.52,0.17526674270629883,False,No difference
llava,H16,16,macro_f1,25,118.0,0.24106645584106445,0.0021981288497145424,0.27384615384615385,1.0,False,No difference
llava,H18,18,accuracy,25,61.0,0.0050716400146484375,0.020958083832335328,0.6246153846153846,0.05578804016113281,False,No difference
llava,H18,18,macro_f1,25,105.0,0.12664812803268433,0.009325684241881738,0.35384615384615387,1.0,False,No difference
llava,H20,20,accuracy,25,60.0,0.004604637622833252,0.014876801487680114,0.6307692307692307,0.05525565147399902,False,No difference
llava,H20,20,macro_f1,25,77.0,0.02027493715286255,0.0071182976058802305,0.5261538461538462,0.3243989944458008,False,No difference
llava,H22,22,accuracy,25,66.0,0.00806879997253418,0.026946107784431184,0.5938461538461538,0.07261919975280762,False,No difference
llava,H22,22,macro_f1,25,112.0,0.18172985315322876,0.008696039892095053,0.31076923076923074,1.0,False,No difference
llava,H24,24,accuracy,25,45.0,0.0009118914604187012,0.03305785123966942,0.7230769230769231,0.014590263366699219,True,AppFr
llava,H24,24,macro_f1,25,100.0,0.09573346376419067,0.012348342347476782,0.38461538461538464,1.0,False,No difference
llava,H26,26,accuracy,25,58.0,0.0037809014320373535,0.02460538532961931,0.6430769230769231,0.049151718616485596,True,AppFr
llava,H26,26,macro_f1,25,108.0,0.14847958087921143,0.004772713656005539,0.3353846153846154,1.0,False,No difference
llava,H28,28,accuracy,25,61.0,0.0050716400146484375,0.023391812865497075,0.6246153846153846,0.05578804016113281,False,No difference
llava,H28,28,macro_f1,25,78.0,0.021908342838287354,0.011749442114233677,0.52,0.3286251425743103,False,No difference
llava,H30,30,accuracy,25,57.0,0.003419220447540283,0.02324500232450033,0.6492307692307693,0.047869086265563965,True,AppFr
llava,H30,30,macro_f1,25,84.0,0.034173786640167236,0.00682925789185479,0.48307692307692307,0.4784330129623413,False,No difference
llava,H32,32,accuracy,25,56.0,0.0030878782272338867,0.024174802417480157,0.6553846153846153,0.0463181734085083,True,AppFr
llava,H32,32,macro_f1,25,114.0,0.2002161741256714,0.004614435246542592,0.29846153846153844,1.0,False,No difference
