model,approach,history,history_frames,class_label,support,precision,recall,f1,class_accuracy
internvl,appfr,H04,4,safe,24996,0.7975794653544355,0.7197551608257321,0.7566715033751814,0.6685666819431714
internvl,appfr,H04,4,potentially_unsafe,8497,0.4008093889113719,0.5827939272684477,0.4749664300786495,0.6864115490375802
internvl,appfr,H04,4,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
internvl,appfr,H06,6,safe,24996,0.8384543761638734,0.5043606977116338,0.6298461231015188,0.5755614115490376
internvl,appfr,H06,6,potentially_unsafe,8497,0.3192795331052526,0.7468518300576674,0.44732668381912377,0.5508421173235564
internvl,appfr,H06,6,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
internvl,appfr,H08,8,safe,24996,0.8328283153890788,0.5168026884301489,0.6378156861776977,0.5797719981668195
internvl,appfr,H08,8,potentially_unsafe,8497,0.3172863126325043,0.7221372249029069,0.44086794079609143,0.5541934005499541
internvl,appfr,H08,8,unsafe,1419,0.0,0.0,0.0,0.9575790559120073
internvl,appfr,H10,10,safe,24996,0.918106686701728,0.39110257641222596,0.5485355178992256,0.5390696608615949
internvl,appfr,H10,10,potentially_unsafe,8497,0.3186613913616881,0.9099682240790867,0.47202466347181105,0.5045543079743354
internvl,appfr,H10,10,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
internvl,appfr,H12,12,safe,24996,0.8493244790474009,0.44515122419587133,0.584140483502638,0.5462018790100825
internvl,appfr,H12,12,potentially_unsafe,8497,0.3068635092384577,0.7876897728610097,0.44166556684703706,0.5152956003666361
internvl,appfr,H12,12,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
internvl,appfr,H14,14,safe,24996,0.8155782999375331,0.6790286445831333,0.7410657759731046,0.6602600824931256
internvl,appfr,H14,14,potentially_unsafe,8497,0.37068293028863203,0.6151582911615865,0.4626073103814497,0.652153987167736
internvl,appfr,H14,14,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
internvl,appfr,H16,16,safe,24996,0.8129375659345929,0.67822851656265,0.7394983642311886,0.6578826764436297
internvl,appfr,H16,16,potentially_unsafe,8497,0.37089201877934275,0.6136283394139108,0.4623365107514964,0.6526409257561869
internvl,appfr,H16,16,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
internvl,appfr,H18,18,safe,24996,0.8536524140239311,0.4081453032485198,0.5522505210165914,0.5261514665444547
internvl,appfr,H18,18,potentially_unsafe,8497,0.29863681895387834,0.806990702600918,0.43594634115328373,0.4917506874427131
internvl,appfr,H18,18,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
internvl,appfr,H20,20,safe,24996,0.8460752099306316,0.46355416866698673,0.5989506603602904,0.5555396425297892
internvl,appfr,H20,20,potentially_unsafe,8497,0.3091388980534477,0.7719195010003531,0.44147539880191156,0.5246333638863429
internvl,appfr,H20,20,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
internvl,appfr,H22,22,safe,24996,0.8712854896117871,0.42110737718034885,0.5677913531299729,0.5409887717690193
internvl,appfr,H22,22,potentially_unsafe,8497,0.3085716788576935,0.8291161586442274,0.4497574055158325,0.5062442713107241
internvl,appfr,H22,22,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
internvl,appfr,H24,24,safe,24996,0.8324051776038531,0.4425108017282765,0.5778393062375927,0.537064619615032
internvl,appfr,H24,24,potentially_unsafe,8497,0.29749352571217164,0.7570907379074968,0.42714385312572617,0.5057573327222732
internvl,appfr,H24,24,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
internvl,appfr,H26,26,safe,24996,0.8378257298588815,0.44891182589214274,0.5845945453124592,0.5432229605866178
internvl,appfr,H26,26,potentially_unsafe,8497,0.30079940509388364,0.7616805931505237,0.43127977876253626,0.5110850137488543
internvl,appfr,H26,26,unsafe,1419,0.3333333333333333,0.0007047216349541931,0.0014064697609001407,0.9593263061411549
internvl,appfr,H28,28,safe,24996,0.8322602507624534,0.4912786045767323,0.6178460919222158,0.5648774060494959
internvl,appfr,H28,28,potentially_unsafe,8497,0.30918833101805915,0.7334353301165117,0.4349980804802289,0.5362912465627865
internvl,appfr,H28,28,unsafe,1419,0.0,0.0,0.0,0.9593263061411549
internvl,appfr,H30,30,safe,24996,0.8546025851603228,0.47875660105616896,0.6137080437959948,0.5684864802933088
internvl,appfr,H30,30,potentially_unsafe,8497,0.3142788806505621,0.7732140755560786,0.44690837358002855,0.5342002749770852
internvl,appfr,H30,30,unsafe,1419,0.0,0.0,0.0,0.9592403758020165
internvl,appfr,H32,32,safe,24996,0.841156914893617,0.5061209793566971,0.6319812169047857,0.5779674610449129
internvl,appfr,H32,32,potentially_unsafe,8497,0.31497886047916246,0.736495233611863,0.44124801692226334,0.5460300183318056
internvl,appfr,H32,32,unsafe,1419,0.0,0.0,0.0,0.9592403758020165
internvl,appod,H02,2,safe,24996,0.7977071391349662,0.6124179868779005,0.6928891504096321,0.6113084326306141
internvl,appod,H02,2,potentially_unsafe,8497,0.34444797963728924,0.6370483700129458,0.44713365273418143,0.6165788267644363
internvl,appod,H02,2,unsafe,1419,0.0,0.0,0.0,0.9591544454628781
internvl,appod,H04,4,safe,24996,0.8169625466080472,0.5872939670347256,0.6833469102758059,0.6103059120073328
internvl,appod,H04,4,potentially_unsafe,8497,0.3463538588819289,0.6897728610097682,0.46115110743931714,0.6076707149404217
internvl,appod,H04,4,unsafe,1419,0.0,0.0,0.0,0.9587534372135655
internvl,appod,H06,6,safe,24996,0.8388906201308819,0.43078892622819653,0.5692535419750476,0.5332263978001833
internvl,appod,H06,6,potentially_unsafe,8497,0.3077341554084686,0.7988701894786395,0.4443135329733268,0.5136629239230064
internvl,appod,H06,6,unsafe,1419,0.0,0.0,0.0,0.9588393675527039
internvl,appod,H08,8,safe,24996,0.8413755287482375,0.4297087534005441,0.568878767014459,0.5336846929422548
internvl,appod,H08,8,potentially_unsafe,8497,0.30565355042966985,0.795339531599388,0.44159832718005687,0.510454857928506
internvl,appod,H08,8,unsafe,1419,0.027777777777777776,0.0007047216349541931,0.0013745704467353953,0.9583810724106324
internvl,appod,H10,10,safe,24996,0.80866683991684,0.49795967354776766,0.6163711993661484,0.556198441796517
internvl,appod,H10,10,potentially_unsafe,8497,0.3087330873308733,0.7089561021537013,0.43014745260452,0.5428219523373052
internvl,appod,H10,10,unsafe,1419,0.0,0.0,0.0,0.9591258020164987
internvl,appod,H12,12,safe,24996,0.8051430408228866,0.5010401664266283,0.6176913023106706,0.5559406507791017
internvl,appod,H12,12,potentially_unsafe,8497,0.30369795707266617,0.6910674355654937,0.4219603334291463,0.5391842346471127
internvl,appod,H12,12,unsafe,1419,0.0,0.0,0.0,0.9587247937671861
internvl,appod,H14,14,safe,24996,0.8134935017863615,0.6285405664906385,0.7091561533774177,0.630871906507791
internvl,appod,H14,14,potentially_unsafe,8497,0.3607202788176068,0.6577615629045546,0.4659247217706641,0.6329915215398717
internvl,appod,H14,14,unsafe,1419,0.0,0.0,0.0,0.9563473877176902
internvl,appod,H16,16,safe,24996,0.8162434895833334,0.6018963034085454,0.6928709588284055,0.6179537121906508
internvl,appod,H16,16,potentially_unsafe,8497,0.34986209010113395,0.6717665058255855,0.460099951636305,0.6162923923006416
internvl,appod,H16,16,unsafe,1419,0.006060606060606061,0.0007047216349541931,0.0012626262626262627,0.9546860678276811
internvl,appod,H18,18,safe,24996,0.8099936346276257,0.5090814530324852,0.6252149560261386,0.5630155820348305
internvl,appod,H18,18,potentially_unsafe,8497,0.3059627523605822,0.6902436153936684,0.42398612014747344,0.5435380384967919
internvl,appod,H18,18,unsafe,1419,0.0,0.0,0.0,0.958409715857012
internvl,appod,H20,20,safe,24996,0.8223426482110211,0.5038806208993439,0.6248759674538599,0.5668538038496792
internvl,appod,H20,20,potentially_unsafe,8497,0.31142010019425415,0.7169589266800047,0.43422787697352,0.5452852887259395
internvl,appod,H20,20,unsafe,1419,0.029411764705882353,0.0007047216349541931,0.0013764624913971096,0.9584383593033914
internvl,appod,H22,22,safe,24996,0.8145699344833804,0.5421667466794687,0.6510220257968439,0.5838393675527039
internvl,appod,H22,22,potentially_unsafe,8497,0.31577791202152783,0.6767094268565376,0.43061484310641807,0.5644477543538039
internvl,appod,H22,22,unsafe,1419,0.0,0.0,0.0,0.9574644821264895
internvl,appod,H24,24,safe,24996,0.820192606399503,0.5281244999199872,0.6425251271567983,0.579256416131989
internvl,appod,H24,24,potentially_unsafe,8497,0.31440908363985287,0.694127339060845,0.43278544173759903,0.5571723189734189
internvl,appod,H24,24,unsafe,1419,0.0,0.0,0.0,0.9576936296975253
internvl,appod,H26,26,safe,24996,0.829400466456304,0.48371739478316533,0.6110577651993734,0.5591200733272227
internvl,appod,H26,26,potentially_unsafe,8497,0.3108895251258762,0.741202777450865,0.4380455572943836,0.5371505499541704
internvl,appod,H26,26,unsafe,1419,0.013157894736842105,0.0007047216349541931,0.0013377926421404682,0.9572353345554537
internvl,appod,H28,28,safe,24996,0.8348571833581402,0.47123539766362615,0.6024293568597366,0.5546803391384051
internvl,appod,H28,28,potentially_unsafe,8497,0.30885195206803245,0.7522655054725197,0.43791319836947207,0.5299896883593034
internvl,appod,H28,28,unsafe,1419,0.018691588785046728,0.0014094432699083862,0.002621231979030144,0.9564046746104491
internvl,appod,H30,30,safe,24996,0.847906830343091,0.5388462153944631,0.6589369144590397,0.6006244271310724
internvl,appod,H30,30,potentially_unsafe,8497,0.33635596794601436,0.7508532423208191,0.4645912980156563,0.5787981209899175
internvl,appod,H30,30,unsafe,1419,0.1016949152542373,0.004228329809725159,0.008119079837618403,0.9580087076076994
internvl,appod,H32,32,safe,24996,0.8530843614538179,0.5117618819011042,0.6397439423870371,0.5873338680109991
internvl,appod,H32,32,potentially_unsafe,8497,0.330695165599637,0.7720371895963282,0.4630479282840404,0.5642186067827681
internvl,appod,H32,32,unsafe,1419,0.075,0.004228329809725159,0.00800533689126084,0.9574071952337305
llava,appfr,H02,2,safe,24996,0.8119913047874223,0.64258281325012,0.717421890702816,0.6375744729605867
llava,appfr,H02,2,potentially_unsafe,8497,0.34895248166016785,0.6213957867482641,0.446927374301676,0.6256874427131073
