approach,history,history_frames,metric,n_blocks,friedman_chi2,raw_p,kendalls_w,holm_p,significant
appod,H12,12,accuracy,25,21.840000000000032,1.8092736474249457e-05,0.43680000000000063,0.00018092736474249456,True
appod,H12,12,macro_f1,25,19.28000000000003,6.507305474754201e-05,0.3856000000000006,0.0007158036022229621,True
appod,H14,14,accuracy,25,21.680000000000007,1.9599627441405713e-05,0.43360000000000015,0.00018092736474249456,True
appod,H14,14,macro_f1,25,10.639999999999986,0.004892753725239511,0.21279999999999974,0.009453334795333413,True
appod,H16,16,accuracy,25,14.480000000000018,0.0007173117601093069,0.28960000000000036,0.0014346235202186137,True
appod,H16,16,macro_f1,25,16.879999999999995,0.0002160501502814798,0.3375999999999999,0.0019444513525333181,True
appod,H18,18,accuracy,25,23.360000000000014,8.46136542174418e-06,0.4672000000000003,0.00010153638506093016,True
appod,H18,18,macro_f1,25,16.879999999999995,0.0002160501502814798,0.3375999999999999,0.0019444513525333181,True
appod,H20,20,accuracy,25,20.74747474747477,3.1242307448351015e-05,0.4149494949494954,0.00018092736474249456,True
appod,H20,20,macro_f1,25,20.480000000000018,3.571284964163487e-05,0.40960000000000035,0.00046426704534125335,True
appod,H22,22,accuracy,25,17.595959595959613,0.0001510378941526627,0.35191919191919224,0.00045311368245798807,True
appod,H22,22,macro_f1,25,11.519999999999982,0.003151111598444471,0.23039999999999963,0.009453334795333413,True
appod,H24,24,accuracy,25,23.360000000000014,8.46136542174418e-06,0.4672000000000003,0.00010153638506093016,True
appod,H24,24,macro_f1,25,13.519999999999982,0.001159229173904602,0.27039999999999964,0.00579614586952301,True
appod,H26,26,accuracy,25,21.840000000000032,1.8092736474249457e-05,0.43680000000000063,0.00018092736474249456,True
appod,H26,26,macro_f1,25,20.480000000000018,3.571284964163487e-05,0.40960000000000035,0.00046426704534125335,True
appod,H28,28,accuracy,25,21.840000000000032,1.8092736474249457e-05,0.43680000000000063,0.00018092736474249456,True
appod,H28,28,macro_f1,25,18.24000000000001,0.00010945467733573622,0.3648000000000002,0.0010945467733573622,True
appod,H30,30,accuracy,25,19.75999999999999,5.118827786912668e-05,0.39519999999999983,0.00020475311147650672,True
appod,H30,30,macro_f1,25,12.480000000000018,0.0019498555228451035,0.24960000000000038,0.007799422091380414,True
appod,H32,32,accuracy,25,25.838383838383823,2.450565069982612e-06,0.5167676767676764,3.185734590977396e-05,True
appod,H32,32,macro_f1,25,16.879999999999995,0.0002160501502814798,0.3375999999999999,0.0019444513525333181,True
