model,approach,history,history_frames,frames,accuracy,macro_precision,macro_recall,macro_f1,balanced_accuracy
internvl,appod,H22,22,34912,0.5528758020164987,0.3767826155016361,0.40629205784533545,0.36054562296775394,0.40629205784533545
internvl,appod,H24,24,34912,0.5470611824014665,0.37820056334645197,0.40741727966027746,0.35843685629813243,0.40741727966027746
internvl,appod,H26,26,34912,0.5267529789184234,0.38448262877300743,0.40854163128966153,0.3501470383786325,0.40854163128966153
internvl,appod,H28,28,34912,0.5205373510540788,0.38746690807040646,0.4083034488020181,0.34765459573607965,0.4083034488020181
internvl,appod,H30,30,34912,0.5687156278643446,0.4286525711811142,0.43130926250833584,0.3772157641041048,0.43130926250833584
internvl,appod,H32,32,34912,0.5544798350137489,0.419593175684485,0.4293424671023858,0.3702657358541128,0.4293424671023858
llava,appfr,H02,2,34912,0.6113084326306141,0.38698126214919676,0.42132619999946136,0.388116421668164,0.42132619999946136
llava,appfr,H04,4,34912,0.6522972043996333,0.37505643912771475,0.39475801672185007,0.38417009785087247,0.39475801672185007
llava,appfr,H06,6,34912,0.6592002749770852,0.36562148913454057,0.37821469268828256,0.3714727434610791,0.37821469268828256
llava,appfr,H08,8,34912,0.6601168652612283,0.35382746298237117,0.3631567767723303,0.3562738503035557,0.3631567767723303
llava,appfr,H10,10,34912,0.6584269019248395,0.35498808920916375,0.365166543237087,0.3584528029111291,0.365166543237087
llava,appfr,H12,12,34912,0.6474278185151238,0.35906423473801535,0.3729668623328248,0.3657917836291093,0.3729668623328248
llava,appfr,H14,14,34912,0.648974564619615,0.3601333018144075,0.373738765681227,0.36667674368021874,0.373738765681227
llava,appfr,H16,16,34912,0.6598017873510541,0.3586504703108336,0.36668704386291706,0.36048747538643405,0.36668704386291706
llava,appfr,H18,18,34912,0.6626947754353804,0.3602370119277593,0.3678526675758451,0.3616717459449717,0.3678526675758451
llava,appfr,H20,20,34912,0.660288725939505,0.36163138241606246,0.3705648099647456,0.3644941556443786,0.3705648099647456
llava,appfr,H22,22,34912,0.65948670944088,0.35696166050228123,0.3649608157618271,0.35859549297347443,0.3649608157618271
llava,appfr,H24,24,34912,0.6626374885426215,0.3537952871753011,0.3608345990962493,0.3537495646249132,0.3608345990962493
llava,appfr,H26,26,34912,0.6627520623281393,0.35011048457939303,0.3572109837366062,0.34938939261009416,0.3572109837366062
llava,appfr,H28,28,34912,0.6654159028414299,0.3514930054207403,0.3581145593235681,0.3502045635056435,0.3581145593235681
llava,appfr,H30,30,34912,0.6677360219981668,0.35471090768013464,0.35976440158086037,0.3521155283702844,0.35976440158086037
llava,appfr,H32,32,34912,0.6684521081576535,0.3533956079194427,0.35802626305737145,0.34989124351666856,0.35802626305737145
llava,appod,H02,2,34912,0.6018274518790101,0.35378569407220245,0.3744717879116278,0.3601541649875073,0.3744717879116278
llava,appod,H04,4,34912,0.6392071494042163,0.35919156302663374,0.37504343011778046,0.3669261646557574,0.37504343011778046
llava,appod,H06,6,34912,0.6463966544454629,0.36130211893369796,0.3754646029936521,0.36819255032567333,0.3754646029936521
llava,appod,H08,8,34912,0.6483444087992667,0.35344162736956813,0.3643047804678288,0.3578539042306404,0.3643047804678288
llava,appod,H10,10,34912,0.6405533913840513,0.3622590571769462,0.3787515908002108,0.3702667892840161,0.3787515908002108
llava,appod,H12,12,34912,0.6346241979835013,0.3551760982996184,0.370449819223047,0.3626494106980768,0.370449819223047
llava,appod,H14,14,34912,0.634051329055912,0.35910972686960757,0.3760610626341696,0.36724827740341076,0.3760610626341696
llava,appod,H16,16,34912,0.6453368469294225,0.3471561288651868,0.35762216717532286,0.35091491714639056,0.35762216717532286
llava,appod,H18,18,34912,0.6387774977085243,0.35633267122213,0.3707780299102299,0.3633906361615343,0.3707780299102299
llava,appod,H20,20,34912,0.6398945921173236,0.3431472688092454,0.354492864949169,0.34763554018537485,0.354492864949169
llava,appod,H22,22,34912,0.6354835013748854,0.3583633292539796,0.3746304167208984,0.3662595366642165,0.3746304167208984
llava,appod,H24,24,34912,0.6342804766269478,0.3438547977880296,0.3564105747877253,0.34959224704170877,0.3564105747877253
llava,appod,H26,26,34912,0.6358272227314391,0.3390876150202928,0.35081253815015484,0.3437922189749554,0.35081253815015484
llava,appod,H28,28,34912,0.6411262603116407,0.3329334841897521,0.34411310054244043,0.3357806190822367,0.34411310054244043
llava,appod,H30,30,34912,0.643102658111824,0.3364188106045436,0.3471565610946537,0.3392203330324631,0.3471565610946537
llava,appod,H32,32,34912,0.6398086617781852,0.34076397101595374,0.35191524017974923,0.3448624450790849,0.35191524017974923
