metric,model,approach,history_1,history_2,n_pairs,nonzero_pairs,friedman_holm_p,median_difference_h1_minus_h2,mean_difference_h1_minus_h2,wilcoxon_statistic,raw_p,holm_p,rank_biserial_h1_minus_h2,significant_holm,significant_better_history
accuracy,internvl,appfr,H02,H08,25,24,3.4594714195472126e-17,0.12146118721461185,0.13206213885315107,16.0,0.0001288892255353885,0.013920036357821958,0.8933333333333333,True,H02
accuracy,internvl,appfr,H02,H10,25,23,3.4594714195472126e-17,0.1842105263157895,0.1876183735547684,20.0,0.000331994064682034,0.02821949549797289,0.855072463768116,True,H02
accuracy,internvl,appfr,H02,H12,25,23,3.4594714195472126e-17,0.14670255720053837,0.16701552078799978,14.0,0.00016229894900734112,0.0173659875437855,0.8985507246376812,True,H02
accuracy,internvl,appfr,H02,H18,25,23,3.4594714195472126e-17,0.16589861751152074,0.18563115451694387,15.0,0.0001832608969158505,0.01873978654249533,0.8913043478260869,True,H02
accuracy,internvl,appfr,H02,H20,25,23,3.4594714195472126e-17,0.15251141552511416,0.15697354555125084,14.0,0.00016229894900734112,0.0173659875437855,0.8985507246376812,True,H02
accuracy,internvl,appfr,H02,H22,25,23,3.4594714195472126e-17,0.1589041095890411,0.17562517957703855,20.0,0.000331994064682034,0.02821949549797289,0.855072463768116,True,H02
accuracy,internvl,appfr,H02,H24,25,23,3.4594714195472126e-17,0.1552511415525114,0.1705347912653934,16.0,0.0002067487536799894,0.020261377860638963,0.8840579710144928,True,H02
accuracy,internvl,appfr,H02,H26,25,23,3.4594714195472126e-17,0.13997308209959625,0.17441834434230669,15.0,0.0001832608969158505,0.01873978654249533,0.8913043478260869,True,H02
accuracy,internvl,appfr,H02,H28,25,23,3.4594714195472126e-17,0.11988304093567259,0.15152852613358783,15.0,0.0001832608969158505,0.01873978654249533,0.8913043478260869,True,H02
accuracy,internvl,appfr,H02,H30,25,23,3.4594714195472126e-17,0.13930013458950208,0.15085894957654583,18.0,0.0002624503030412823,0.02416282301640701,0.8695652173913043,True,H02
accuracy,internvl,appfr,H02,H32,25,23,3.4594714195472126e-17,0.12627669452181978,0.13831268539157393,14.0,0.00016229894900734112,0.0173659875437855,0.8985507246376812,True,H02
accuracy,internvl,appfr,H04,H08,25,23,3.4594714195472126e-17,0.12237442922374425,0.11994570755409431,15.0,0.0001832608969158505,0.01873978654249533,0.8913043478260869,True,H04
accuracy,internvl,appfr,H04,H10,25,22,3.4594714195472126e-17,0.1929824561403508,0.17550194225571164,17.0,0.00037799533287222436,0.0294836359640335,0.8656126482213439,True,H04
accuracy,internvl,appfr,H04,H12,25,22,3.4594714195472126e-17,0.15208613728129206,0.15489908948894304,16.0,0.0003339221696229232,0.02821949549797289,0.8735177865612648,True,H04
accuracy,internvl,appfr,H04,H18,25,22,3.4594714195472126e-17,0.18817204301075274,0.17351472321788713,15.0,0.0002946941121244842,0.026227775979079094,0.8814229249011858,True,H04
accuracy,internvl,appfr,H04,H20,25,22,3.4594714195472126e-17,0.15342465753424656,0.1448571142521941,15.0,0.0002946941121244842,0.026227775979079094,0.8814229249011858,True,H04
accuracy,internvl,appfr,H04,H22,25,22,3.4594714195472126e-17,0.1598173515981735,0.16350874827798179,17.0,0.00037799533287222436,0.0294836359640335,0.8656126482213439,True,H04
