metric,model,approach,history,history_frames,bags,median_bag_value,mean_bag_value,q1_bag_value,q3_bag_value,iqr_bag_value,minimum_bag_value,maximum_bag_value,average_rank,pooled_frame_value,huron_median_bag_value,pal_median_bag_value,crowdbot_median_bag_value
accuracy,qwen,appod,H02,2,25,0.8200836820083682,0.7197835883708058,0.5028901734104047,0.8791208791208791,0.37623070571047446,0.40827671402100063,0.9548022598870056,11.64,0.6863829055912007,0.8747731397459165,0.6649111257406188,0.4695740365111562
accuracy,qwen,appod,H04,4,25,0.7220381110190555,0.6951565652399484,0.5210569777043765,0.8667595171773445,0.3457025394729679,0.4239350912778905,0.9529190207156308,12.68,0.6571379468377635,0.8475499092558983,0.5789993416721527,0.4564546016059296
accuracy,qwen,appod,H06,6,25,0.826950354609929,0.7380788016005247,0.5359207266721717,0.9074074074074074,0.3714866807352357,0.4391080617495712,0.9584859584859585,10.28,0.7029388175985335,0.9035087719298246,0.6395655036208031,0.4951550387596899
accuracy,qwen,appod,H08,8,25,0.8326241134751773,0.7268122323267717,0.5119735755573905,0.9032062915910466,0.39123271603365606,0.4288164665523156,0.96045197740113,12.02,0.6894763978001833,0.8918128654970761,0.576366030283081,0.4883720930232558
accuracy,qwen,appod,H10,10,25,0.826950354609929,0.7404909729693036,0.5203488372093024,0.9098608590441621,0.3895120218348598,0.44704433497536944,0.9633699633699634,9.86,0.7049152153987168,0.8983402489626556,0.673798551678736,0.5103220478943022
accuracy,qwen,appod,H12,12,25,0.8397163120567376,0.7421651764611942,0.5348980852378011,0.9219600725952813,0.3870619873574802,0.4322469982847341,0.9719169719169719,10.02,0.7048865719523373,0.9163679808841099,0.6458196181698486,0.4838976052848885
accuracy,qwen,appod,H14,14,25,0.8312056737588652,0.7500727095222254,0.5441630636195183,0.9323607427055703,0.38819767908605207,0.4044334975369458,0.978021978021978,7.68,0.7102428964252979,0.9249848759830611,0.6454904542462147,0.49594320486815413
accuracy,qwen,appod,H16,16,25,0.8468085106382979,0.7456563442743156,0.5071031500926498,0.9363395225464191,0.4292363724537692,0.4041871921182266,0.9755799755799756,8.54,0.7049438588450962,0.9231699939503932,0.640223831468071,0.48637489677952106
accuracy,qwen,appod,H18,18,25,0.8667935299714558,0.7522947196461475,0.5423100679431748,0.9336870026525199,0.3913769347093451,0.3896551724137931,0.9731379731379731,7.34,0.7126489459211732,0.9286146400483969,0.6342988808426596,0.4776876267748479
accuracy,qwen,appod,H20,20,25,0.8397163120567376,0.7412904142827845,0.5386040765904879,0.9310344827586207,0.39243040616813274,0.3832512315270936,0.9694749694749695,9.44,0.6993297433547204,0.925589836660617,0.6260697827518104,0.4649050371593724
accuracy,qwen,appod,H22,22,25,0.8368794326241135,0.7471518346257914,0.5710610932475885,0.926194797338173,0.35513370409058453,0.3812807881773399,0.9706959706959707,8.58,0.7061755270394133,0.9190981432360743,0.6356155365371955,0.4731626754748142
accuracy,qwen,appod,H24,24,25,0.8382978723404255,0.7526529655386236,0.5626930203829524,0.9249848759830611,0.3622918556001087,0.388423645320197,0.9768009768009768,6.28,0.7105293308890925,0.9230769230769231,0.6290322580645161,0.48967795210569776
accuracy,qwen,appod,H26,26,25,0.8382978723404255,0.7557322278407349,0.5942122186495177,0.9237749546279492,0.32956273597843155,0.41674876847290643,0.9804639804639804,6.16,0.716916819431714,0.9190981432360743,0.6405529953917051,0.4962840627580512
accuracy,qwen,appod,H28,28,25,0.8524822695035461,0.7561347686314634,0.5942122186495177,0.9274047186932849,0.3331925000437672,0.4064039408866995,0.978021978021978,5.66,0.7152268560953254,0.9217506631299734,0.6342988808426596,0.49380677126341865
accuracy,qwen,appod,H30,30,25,0.8661087866108786,0.7612618632281452,0.5836936380481779,0.9213551119177253,0.3376614738695475,0.39876847290640394,0.9804639804639804,5.34,0.7222158570119157,0.9190981432360743,0.6362738643844634,0.5213178294573644
accuracy,qwen,appod,H32,32,25,0.8839200761179828,0.7648169738415471,0.6090032154340836,0.9346642468239564,0.3256610313898728,0.4051724137931034,0.9804639804639804,4.48,0.7278299725022914,0.9217506631299734,0.6609611586570112,0.4921552436003303
accuracy,internvl,appfr,H02,2,25,0.8340425531914893,0.7046044491662158,0.46688102893890676,0.8978494623655914,0.4309684334266846,0.3396551724137931,0.9472693032015066,4.64,0.6610620989917507,0.8653686826843413,0.43219223173140225,0.46688102893890676
