model,approach,history,history_frames,frames,bags,accuracy,balanced_accuracy,macro_f1,recall_safe,recall_potentially_unsafe,recall_unsafe
internvl,appod,H02,2,34912,25,0.5935208524289642,0.4164887856302821,0.3800076010479378,0.6124179868779005,0.6370483700129458,0.0
internvl,appod,H04,4,34912,25,0.5883650320806599,0.425688942681498,0.3814993392383743,0.5872939670347256,0.6897728610097682,0.0
internvl,appod,H06,6,34912,25,0.5028643446379468,0.40988637190227867,0.3378556916494581,0.43078892622819653,0.7988701894786395,0.0
internvl,appod,H08,8,34912,25,0.5012603116406966,0.4085843355449621,0.3372838882137504,0.4297087534005441,0.795339531599388,0.0007047216349541931
internvl,appod,H10,10,34912,25,0.5290730980751605,0.4023052585671563,0.3488395506568895,0.49795967354776766,0.7089561021537013,0.0
internvl,appod,H12,12,34912,25,0.5269248395967002,0.39736920066404063,0.3465505452466056,0.5010401664266283,0.6910674355654937,0.0
internvl,appod,H14,14,34912,25,0.6101054078826764,0.42876737646506435,0.39169362504936056,0.6285405664906385,0.6577615629045546,0.0
internvl,appod,H16,16,34912,25,0.5944660861594867,0.4247891769563617,0.3847445122424456,0.6018963034085454,0.6717665058255855,0.0007047216349541931
internvl,appod,H18,18,34912,25,0.5324816681943172,0.39977502280871785,0.3497336920578707,0.5090814530324852,0.6902436153936684,0.0
internvl,appod,H20,20,34912,25,0.535288725939505,0.40718142307143435,0.3534934356395923,0.5038806208993439,0.7169589266800047,0.0007047216349541931
internvl,appod,H22,22,34912,25,0.5528758020164987,0.40629205784533545,0.36054562296775394,0.5421667466794687,0.6767094268565376,0.0
internvl,appod,H24,24,34912,25,0.5470611824014665,0.40741727966027746,0.35843685629813243,0.5281244999199872,0.694127339060845,0.0
internvl,appod,H26,26,34912,25,0.5267529789184234,0.40854163128966153,0.3501470383786325,0.48371739478316533,0.741202777450865,0.0007047216349541931
internvl,appod,H28,28,34912,25,0.5205373510540788,0.4083034488020181,0.34765459573607965,0.47123539766362615,0.7522655054725197,0.0014094432699083862
internvl,appod,H30,30,34912,25,0.5687156278643446,0.43130926250833584,0.3772157641041048,0.5388462153944631,0.7508532423208191,0.004228329809725159
internvl,appod,H32,32,34912,25,0.5544798350137489,0.4293424671023858,0.3702657358541128,0.5117618819011042,0.7720371895963282,0.004228329809725159
llava,appfr,H02,2,34912,25,0.6113084326306141,0.42132619999946136,0.38811642166816407,0.64258281325012,0.6213957867482641,0.0
llava,appfr,H04,4,34912,25,0.6522972043996333,0.39475801672185007,0.3841700978508726,0.7703632581212994,0.4139107920442509,0.0
llava,appfr,H06,6,34912,25,0.6592002749770852,0.37821469268828256,0.37147274346107917,0.8105296847495599,0.32411439331528774,0.0
llava,appfr,H08,8,34912,25,0.6601168652612283,0.3631567767723303,0.3562738503035557,0.8357337173947832,0.25373661292220784,0.0
llava,appfr,H10,10,34912,25,0.6584269019248395,0.365166543237087,0.3584528029111291,0.8290526484237478,0.26644698128751326,0.0
llava,appfr,H12,12,34912,25,0.6474278185151238,0.3729668623328248,0.3657917836291093,0.7937269963194111,0.3251735906790632,0.0
llava,appfr,H14,14,34912,25,0.648974564619615,0.373738765681227,0.36667674368021874,0.7958073291726676,0.3254089678710133,0.0
llava,appfr,H16,16,34912,25,0.6598017873510541,0.36668704386291706,0.36048747538643416,0.8296127380380861,0.27044839355066497,0.0
llava,appfr,H18,18,34912,25,0.6626947754353804,0.3678526675758451,0.3616717459449717,0.8339334293486957,0.2696245733788396,0.0
llava,appfr,H20,20,34912,25,0.660288725939505,0.3705648099647456,0.3644941556443786,0.8246519443110898,0.287042485583147,0.0
llava,appfr,H22,22,34912,25,0.65948670944088,0.3649608157618271,0.35859549297347443,0.8316130580892943,0.26326938919618686,0.0
llava,appfr,H24,24,34912,25,0.6626374885426215,0.3608345990962493,0.3537495646249132,0.8446551448231717,0.2378486524655761,0.0
llava,appfr,H26,26,34912,25,0.6627520623281393,0.3572109837366062,0.34938939261009416,0.8504960793726997,0.22113687183711897,0.0
llava,appfr,H28,28,34912,25,0.6654159028414299,0.3581145593235681,0.3502045635056435,0.854736757881261,0.21960692008944332,0.0
llava,appfr,H30,30,34912,25,0.6677360219981668,0.35976440158086037,0.3521155283702844,0.8570971355416866,0.22219606920089444,0.0
llava,appfr,H32,32,34912,25,0.6684521081576535,0.35802626305737145,0.34989124351666856,0.8612978076492239,0.21278098152289043,0.0
llava,appod,H02,2,34912,25,0.6018274518790101,0.3744717879116278,0.36015416498750735,0.6949111857897263,0.4285041779451571,0.0
llava,appod,H04,4,34912,25,0.6392071494042163,0.37504343011778046,0.36692616465575734,0.7731236997919667,0.3520065905613746,0.0
llava,appod,H06,6,34912,25,0.6463966544454629,0.3754646029936521,0.3681925503256733,0.7876860297647623,0.33870777921619394,0.0
llava,appod,H08,8,34912,25,0.6483444087992667,0.3643047804678288,0.3578539042306405,0.8090494479116659,0.28386489349182065,0.0
llava,appod,H10,10,34912,25,0.6405533913840513,0.3787515908002108,0.3702667892840161,0.7702432389182269,0.36601153348240556,0.0
llava,appod,H12,12,34912,25,0.6346241979835013,0.370449819223047,0.3626494106980768,0.770523283725396,0.34082617394374487,0.0
llava,appod,H14,14,34912,25,0.634051329055912,0.3760610626341696,0.3672482774034107,0.7606417026724276,0.3675414852300812,0.0
