metric,model,approach,history,history_frames,bags,median_bag_value,mean_bag_value,q1_bag_value,q3_bag_value,iqr_bag_value,minimum_bag_value,maximum_bag_value,average_rank,pooled_frame_value,huron_median_bag_value,pal_median_bag_value,crowdbot_median_bag_value
macro_f1,qwen,appfr,H30,30,25,0.32619775739041795,0.33420242179986764,0.31427099433281813,0.3674035573771117,0.05313256304429359,0.18413237094627413,0.4386003253927782,7.7,0.40743624416329044,0.32619775739041795,0.2734216676284681,0.3634281678773204
macro_f1,qwen,appfr,H32,32,25,0.32611669200867777,0.33177739026414804,0.31427099433281813,0.3609025914981538,0.04663159716533566,0.1863236636987072,0.4299579311084143,8.74,0.4088139253813492,0.325626204238921,0.2724137525723885,0.3609025914981538
macro_f1,qwen,appod,H02,2,25,0.3559143559143559,0.36310948767027573,0.32292389544297945,0.3936183979442811,0.07069450250130166,0.2635899938939998,0.47840700277304465,7.3,0.4067638454324587,0.375375060387495,0.3226030871108814,0.3155404656613822
macro_f1,qwen,appod,H04,4,25,0.34444339115871964,0.35072327947574855,0.3104419324739937,0.3730031315588925,0.06256119908489877,0.25041122399612964,0.5022841143530798,10.34,0.4161329454113132,0.3610502510258011,0.3730031315588925,0.2897559960459914
macro_f1,qwen,appod,H06,6,25,0.36357082273112806,0.35902436611151217,0.3247674154753801,0.39330357142857136,0.06853615595319129,0.24533003810112244,0.4390255921157209,8.56,0.4366011976016875,0.377727469775059,0.3611920127885479,0.30894234297349793
macro_f1,qwen,appod,H08,8,25,0.3577952353579869,0.35718156712180965,0.3228045817424505,0.37916698745092003,0.05636240570846951,0.2631776402175952,0.45000059872352144,9.02,0.42762157748145796,0.37604784607732533,0.3577952353579869,0.3138026041534813
macro_f1,qwen,appod,H10,10,25,0.3678583946722748,0.36378432411911604,0.3306719278847539,0.3913488480017037,0.060676920116949806,0.27443471918307805,0.45161036702678703,6.84,0.43543813351997085,0.3859146654916648,0.3375319778738766,0.3306719278847539
macro_f1,qwen,appod,H12,12,25,0.35756579242926584,0.3555918873695484,0.3238754325259516,0.38187344570323295,0.05799801317728137,0.2588522588522588,0.45398938462522276,8.7,0.4360316317747381,0.3707555709635793,0.3341286875606962,0.3173422243880399
macro_f1,qwen,appod,H14,14,25,0.35291952774426,0.35440511023604515,0.3232976653696498,0.3916344232918691,0.06833675792221927,0.2582356225572306,0.44469975409649304,8.46,0.4341294386581449,0.3731927470245227,0.296258265976902,0.32412449756182155
macro_f1,qwen,appod,H16,16,25,0.3538818292050256,0.35504299342594947,0.3229946524064171,0.38509131388625084,0.062096661479833726,0.24961323238973007,0.45034317330020635,8.26,0.4304883417646677,0.3718908922792418,0.29752723181276175,0.3175341906511533
macro_f1,qwen,appod,H18,18,25,0.33974830629523783,0.3477361649003531,0.3152142692238951,0.3742461430424529,0.05903187381855779,0.26940895837039025,0.4542642187037025,9.28,0.43265022216562604,0.3682257383202385,0.3137254901960784,0.3152142692238951
macro_f1,qwen,appod,H20,20,25,0.3515941060757896,0.3554134947399302,0.3230367364234275,0.39292859763897187,0.06989186121554436,0.2753985765678086,0.45950154398081194,8.8,0.42737696519033447,0.3823468328141226,0.2966976264189886,0.3212050525478235
macro_f1,qwen,appod,H22,22,25,0.33351912160533354,0.3448739699283716,0.32518597236981933,0.3846514682427995,0.05946549587298017,0.26206020677475045,0.44114063924476943,10.24,0.43265256072244523,0.37090987513072465,0.2998209260680481,0.3048105589038819
macro_f1,qwen,appod,H24,24,25,0.330066264396319,0.34627241012712673,0.3234591567465251,0.3699482958742218,0.0464891391276967,0.2573839662447257,0.4463732229372746,9.2,0.4323355523992711,0.3664712684930414,0.29888005471488416,0.3234591567465251
macro_f1,qwen,appod,H26,26,25,0.346171324698932,0.351277358753807,0.32397747876705796,0.37471931862175767,0.05074183985469971,0.29790659845452944,0.4374426266990175,8.82,0.44160749328411414,0.36216524216524215,0.3049128226449144,0.32591983180218476
macro_f1,qwen,appod,H28,28,25,0.33711086108559557,0.35280827415485083,0.3250484502369872,0.37512614936084326,0.05007769912385607,0.2961319055571929,0.44413821861686803,7.7,0.442409957630048,0.3664712684930414,0.2971742678003951,0.33694041740559805
macro_f1,qwen,appod,H30,30,25,0.3415234255640247,0.35908319346031,0.32599724896836313,0.38220705003677785,0.05620980106841472,0.28459088410721334,0.45319571761410504,6.4,0.43911163870035524,0.3788382845988729,0.3094170403587444,0.35356672313194054
macro_f1,qwen,appod,H32,32,25,0.34260622611511726,0.3519797766706072,0.32567636549259826,0.3699574686565507,0.04428110316395245,0.2886856859168648,0.4475550703127502,8.08,0.448696933330138,0.3509543197043197,0.31605541972290135,0.34260622611511726
macro_f1,internvl,appfr,H02,2,25,0.3388305667713474,0.3344100486798268,0.2515393876570404,0.4090172707853314,0.15747788312829097,0.178535597050544,0.4883786308276881,2.52,0.41720037593923825,0.40769166998275636,0.2515393876570404,0.23321087505716834
