metric,model,approach,history_1,history_2,n_pairs,nonzero_pairs,friedman_holm_p,median_difference_h1_minus_h2,mean_difference_h1_minus_h2,wilcoxon_statistic,raw_p,holm_p,rank_biserial_h1_minus_h2,significant_holm,significant_better_history
accuracy,qwen,appfr,H20,H26,25,21,3.917591313096919e-05,-0.0006729475100941684,-0.0008360646642238123,88.0,0.33915541347158473,1.0,-0.23809523809523808,False,No difference
accuracy,qwen,appfr,H20,H28,25,21,3.917591313096919e-05,-0.0013262599469495706,-0.0015563817304943583,84.0,0.2735753578226747,1.0,-0.2727272727272727,False,No difference
accuracy,qwen,appfr,H20,H30,25,19,3.917591313096919e-05,0.0,-0.0002496485583175523,74.0,0.39806292572561963,1.0,-0.22105263157894736,False,No difference
accuracy,qwen,appfr,H20,H32,25,20,3.917591313096919e-05,-0.00046425255338911064,-1.95380617427543e-05,88.0,0.5256531981764858,1.0,-0.1619047619047619,False,No difference
accuracy,qwen,appfr,H22,H24,25,16,3.917591313096919e-05,0.0,-0.0003428125916531477,55.0,0.5014474714870738,1.0,-0.19117647058823528,False,No difference
accuracy,qwen,appfr,H22,H26,25,16,3.917591313096919e-05,0.0,-0.000747182347840496,59.0,0.6416601266046645,1.0,-0.1323529411764706,False,No difference
accuracy,qwen,appfr,H22,H28,25,17,3.917591313096919e-05,0.0,-0.001467499414111042,58.0,0.3811632511856291,1.0,-0.24183006535947713,False,No difference
accuracy,qwen,appfr,H22,H30,25,18,3.917591313096919e-05,0.0,-0.00016076624193423595,74.0,0.6164914109936318,1.0,-0.13450292397660818,False,No difference
accuracy,qwen,appfr,H22,H32,25,17,3.917591313096919e-05,0.0,6.934425464056205e-05,61.0,0.4631068149666542,1.0,-0.20261437908496732,False,No difference
accuracy,qwen,appfr,H24,H26,25,16,3.917591313096919e-05,0.0,-0.00040436975618734827,64.0,0.836138661741041,1.0,0.058823529411764705,False,No difference
accuracy,qwen,appfr,H24,H28,25,17,3.917591313096919e-05,0.0,-0.0011246868224578943,66.0,0.6191537066890378,1.0,-0.13725490196078433,False,No difference
accuracy,qwen,appfr,H24,H30,25,18,3.917591313096919e-05,0.0,0.00018204634971891176,81.0,0.8446284810712963,1.0,-0.05263157894736842,False,No difference
accuracy,qwen,appfr,H24,H32,25,15,3.917591313096919e-05,0.0,0.00041215684629370976,58.0,0.9095609385561121,1.0,-0.03333333333333333,False,No difference
accuracy,qwen,appfr,H26,H28,25,17,3.917591313096919e-05,0.0,-0.0007203170662705461,53.0,0.2659466461059248,1.0,-0.30718954248366015,False,No difference
accuracy,qwen,appfr,H26,H30,25,17,3.917591313096919e-05,0.0,0.0005864161059062601,69.0,0.7225627705707576,1.0,-0.09803921568627451,False,No difference
accuracy,qwen,appfr,H26,H32,25,17,3.917591313096919e-05,0.0,0.000816526602481058,75.0,0.9433920568226559,1.0,-0.0196078431372549,False,No difference
accuracy,qwen,appfr,H28,H30,25,17,3.917591313096919e-05,0.0,0.001306733172176806,63.0,0.5227810104666994,1.0,0.17647058823529413,False,No difference
accuracy,qwen,appfr,H28,H32,25,17,3.917591313096919e-05,0.0,0.001536843668751604,60.0,0.43475617175843206,1.0,0.21568627450980393,False,No difference
accuracy,qwen,appfr,H30,H32,25,17,3.917591313096919e-05,0.0,0.000230110496574798,71.0,0.7945864126678862,1.0,0.0718954248366013,False,No difference
accuracy,qwen,appod,H02,H04,25,25,7.173706809430005e-15,0.02722323049001818,0.024627023130857465,92.0,0.05875152349472046,1.0,0.4338461538461538,False,No difference
accuracy,qwen,appod,H02,H06,25,24,7.173706809430005e-15,-0.0237442922374429,-0.018295213229719,53.0,0.0055810915679556945,0.40725356340408325,-0.6466666666666666,False,No difference
accuracy,qwen,appod,H02,H08,25,24,7.173706809430005e-15,-0.009929078014184411,-0.007028643955965821,77.0,0.03700451161641875,1.0,-0.4866666666666667,False,No difference
accuracy,qwen,appod,H02,H10,25,24,7.173706809430005e-15,-0.014336917562724039,-0.020707384598497698,53.0,0.0055810915679556945,0.40725356340408325,-0.6466666666666666,False,No difference
accuracy,qwen,appod,H02,H12,25,25,7.173706809430005e-15,-0.017021276595744705,-0.02238158809038829,82.0,0.029578447341918945,1.0,-0.49538461538461537,False,No difference
accuracy,qwen,appod,H02,H14,25,25,7.173706809430005e-15,-0.02636916835699793,-0.030289121151419525,62.0,0.005578815937042236,0.40725356340408325,-0.6184615384615385,False,No difference
accuracy,qwen,appod,H02,H16,25,25,7.173706809430005e-15,-0.019115890083632014,-0.025872755903509796,74.0,0.01597297191619873,0.8944864273071289,-0.5446153846153846,False,No difference
accuracy,qwen,appod,H02,H18,25,24,7.173706809430005e-15,-0.027444253859348233,-0.03251113127534151,51.0,0.004675626589095523,0.3459963675930687,-0.66,False,No difference
accuracy,qwen,appod,H02,H20,25,25,7.173706809430005e-15,-0.01682368775235532,-0.021506825911978732,93.0,0.0626264214515686,1.0,-0.4276923076923077,False,No difference
accuracy,qwen,appod,H02,H22,25,25,7.173706809430005e-15,-0.016129032258064502,-0.027368246254985587,74.0,0.01597297191619873,0.8944864273071289,-0.5446153846153846,False,No difference
accuracy,qwen,appod,H02,H24,25,23,7.173706809430005e-15,-0.0174966352624496,-0.032869377167817654,39.0,0.002603199399433283,0.21606555015296247,-0.717391304347826,False,No difference
accuracy,qwen,appod,H02,H26,25,24,7.173706809430005e-15,-0.0174966352624496,-0.035948639469929045,33.0,0.0008292057593073193,0.08374978169003926,-0.78,False,No difference
accuracy,qwen,appod,H02,H28,25,24,7.173706809430005e-15,-0.029787234042553234,-0.036351180260657576,42.0,0.0020306384450003404,0.18226146697998047,-0.72,False,No difference
accuracy,qwen,appod,H02,H30,25,25,7.173706809430005e-15,-0.028901734104046173,-0.04147827485733927,26.0,6.365776062011719e-05,0.0076389312744140625,-0.84,True,H30
accuracy,qwen,appod,H02,H32,25,25,7.173706809430005e-15,-0.03378995433789955,-0.045033385470741275,31.0,0.0001398921012878418,0.016507267951965332,-0.8092307692307692,True,H32
accuracy,qwen,appod,H04,H06,25,25,7.173706809430005e-15,-0.04076590487955528,-0.04292223636057647,32.0,0.00016230344772338867,0.018827199935913086,-0.803076923076923,True,H06
accuracy,qwen,appod,H04,H08,25,25,7.173706809430005e-15,-0.038297872340425476,-0.03165566708682328,57.0,0.003419220447540283,0.2666991949081421,-0.6492307692307693,False,No difference
accuracy,qwen,appod,H04,H10,25,24,7.173706809430005e-15,-0.04852521408182686,-0.045334407729355174,30.0,0.0006067668456360628,0.0637105187917866,-0.8,False,No difference
accuracy,qwen,appod,H04,H12,25,25,7.173706809430005e-15,-0.04662226450999052,-0.04700861122124576,44.0,0.0008081197738647461,0.0824282169342041,-0.7292307692307692,False,No difference
accuracy,qwen,appod,H04,H14,25,25,7.173706809430005e-15,-0.05328258801141772,-0.054916144282277,38.0,0.0003764033317565918,0.04027515649795532,-0.7661538461538462,True,H14
accuracy,qwen,appod,H04,H16,25,25,7.173706809430005e-15,-0.052482269503546064,-0.05049977903436727,50.0,0.001625359058380127,0.1560344696044922,-0.6923076923076923,False,No difference
accuracy,qwen,appod,H04,H18,25,24,7.173706809430005e-15,-0.052482269503546064,-0.05713815440619897,43.0,0.002234577508303178,0.19664282073067965,-0.7133333333333334,False,No difference
accuracy,qwen,appod,H04,H20,25,24,7.173706809430005e-15,-0.04539007092198577,-0.0461338490428362,59.0,0.009322376047437493,0.5964014558851392,-0.6066666666666667,False,No difference
accuracy,qwen,appod,H04,H22,25,24,7.173706809430005e-15,-0.04255319148936165,-0.05199526938584304,43.0,0.002234577508303178,0.19664282073067965,-0.7133333333333334,False,No difference
accuracy,qwen,appod,H04,H24,25,25,7.173706809430005e-15,-0.045638945233265726,-0.05749640029867511,34.0,0.00021690130233764648,0.024509847164154053,-0.7907692307692308,True,H24
accuracy,qwen,appod,H04,H26,25,25,7.173706809430005e-15,-0.05882352941176472,-0.06057566260078651,31.0,0.0001398921012878418,0.016507267951965332,-0.8092307692307692,True,H26
accuracy,qwen,appod,H04,H28,25,25,7.173706809430005e-15,-0.056591639871382604,-0.06097820339151504,32.0,0.00016230344772338867,0.018827199935913086,-0.803076923076923,True,H28
accuracy,qwen,appod,H04,H30,25,25,7.173706809430005e-15,-0.0675547098001903,-0.06610529798819673,27.0,7.49826431274414e-05,0.008922934532165527,-0.8338461538461538,True,H30
accuracy,qwen,appod,H04,H32,25,25,7.173706809430005e-15,-0.0675547098001903,-0.06966040860159874,33.0,0.00018787384033203125,0.021417617797851562,-0.796923076923077,True,H32
accuracy,qwen,appod,H06,H08,25,25,7.173706809430005e-15,0.010291595197255587,0.011266569273753177,50.0,0.001625359058380127,0.1560344696044922,0.6923076923076923,False,No difference
accuracy,qwen,appod,H06,H10,25,23,7.173706809430005e-15,-0.004884004884004867,-0.0024121713687786993,107.0,0.3457507008948919,1.0,-0.2246376811594203,False,No difference
accuracy,qwen,appod,H06,H12,25,24,7.173706809430005e-15,-0.006254114549045453,-0.004086374860669289,109.0,0.24142655338204444,1.0,-0.2733333333333333,False,No difference
accuracy,qwen,appod,H06,H14,25,24,7.173706809430005e-15,-0.01144010767160164,-0.011993907921700528,66.0,0.016395071849192262,0.8944864273071289,-0.56,False,No difference
accuracy,qwen,appod,H06,H16,25,25,7.173706809430005e-15,-0.008563273073263544,-0.007577542673790798,105.0,0.12664812803268433,1.0,-0.35384615384615387,False,No difference
accuracy,qwen,appod,H06,H18,25,25,7.173706809430005e-15,-0.012099213551119203,-0.014215918045622509,91.0,0.055070459842681885,1.0,-0.44,False,No difference
accuracy,qwen,appod,H06,H20,25,25,7.173706809430005e-15,-0.010466222645099887,-0.003211612682259732,132.0,0.42614197731018066,1.0,-0.18769230769230769,False,No difference
accuracy,qwen,appod,H06,H22,25,25,7.173706809430005e-15,-0.011417697431018059,-0.009073033025266585,100.0,0.09573346376419067,1.0,-0.38461538461538464,False,No difference
accuracy,qwen,appod,H06,H24,25,24,7.173706809430005e-15,-0.014970059880239472,-0.014574163938098648,61.0,0.010995017215527,0.670696050147147,-0.5933333333333334,False,No difference
accuracy,qwen,appod,H06,H26,25,25,7.173706809430005e-15,-0.015477792732166984,-0.01765342624021005,57.0,0.003419220447540283,0.2666991949081421,-0.6492307692307693,False,No difference
accuracy,qwen,appod,H06,H28,25,23,7.173706809430005e-15,-0.016438356164383605,-0.018055967030938577,48.0,0.006193715096235894,0.42904436588287354,-0.6521739130434783,False,No difference
accuracy,qwen,appod,H06,H30,25,25,7.173706809430005e-15,-0.01949860724233976,-0.023183061627620266,40.0,0.0004894733428955078,0.05188417434692383,-0.7538461538461538,False,No difference
accuracy,qwen,appod,H06,H32,25,25,7.173706809430005e-15,-0.020958083832335328,-0.026738172241022276,54.0,0.002507925033569336,0.21317362785339355,-0.6676923076923077,False,No difference
accuracy,qwen,appod,H08,H10,25,25,7.173706809430005e-15,-0.012534818941504211,-0.013678740642531877,54.0,0.002507925033569336,0.21317362785339355,-0.6676923076923077,False,No difference
accuracy,qwen,appod,H08,H12,25,25,7.173706809430005e-15,-0.010932475884244286,-0.015352944134422467,72.0,0.013554692268371582,0.7997268438339233,-0.556923076923077,False,No difference
accuracy,qwen,appod,H08,H14,25,25,7.173706809430005e-15,-0.026862026862026878,-0.023260477195453707,55.0,0.0027848482131958008,0.22835755348205566,-0.6615384615384615,False,No difference
accuracy,qwen,appod,H08,H16,25,23,7.173706809430005e-15,-0.014184397163120588,-0.018844111947543974,60.0,0.01767455609157178,0.9367514728533043,-0.5652173913043478,False,No difference
accuracy,qwen,appod,H08,H18,25,25,7.173706809430005e-15,-0.02197802197802201,-0.025482487319375687,63.0,0.006129205226898193,0.42904436588287354,-0.6123076923076923,False,No difference
accuracy,qwen,appod,H08,H20,25,25,7.173706809430005e-15,-0.015531660692950977,-0.01447818195601291,92.0,0.05875152349472046,1.0,-0.4338461538461538,False,No difference
accuracy,qwen,appod,H08,H22,25,25,7.173706809430005e-15,-0.019536019536019578,-0.020339602299019766,78.0,0.021908342838287354,1.0,-0.52,False,No difference
accuracy,qwen,appod,H08,H24,25,25,7.173706809430005e-15,-0.022835394862036118,-0.025840733211851825,42.0,0.0006313323974609375,0.0656585693359375,-0.7415384615384616,False,No difference
accuracy,qwen,appod,H08,H26,25,25,7.173706809430005e-15,-0.020932445290199775,-0.028919995513963227,35.0,0.0002498030662536621,0.02722853422164917,-0.7846153846153846,True,H26
accuracy,qwen,appod,H08,H28,25,25,7.173706809430005e-15,-0.024198427102238296,-0.029322536304691754,34.0,0.00021690130233764648,0.024509847164154053,-0.7907692307692308,True,H28
accuracy,qwen,appod,H08,H30,25,24,7.173706809430005e-15,-0.0232126276694522,-0.03444963090137345,24.0,0.00031821718031506727,0.03436745547402727,-0.84,True,H30
accuracy,qwen,appod,H08,H32,25,24,7.173706809430005e-15,-0.025531914893617058,-0.03800474151477545,33.0,0.0008292057593073193,0.08374978169003926,-0.78,False,No difference
accuracy,qwen,appod,H10,H12,25,25,7.173706809430005e-15,-0.0029940119760478723,-0.001674203491890589,125.0,0.325391948223114,1.0,-0.23076923076923078,False,No difference
accuracy,qwen,appod,H10,H14,25,25,7.173706809430005e-15,-0.008748317631224745,-0.009581736552921829,87.0,0.04215019941329956,1.0,-0.4646153846153846,False,No difference
accuracy,qwen,appod,H10,H16,25,25,7.173706809430005e-15,-0.006660323501427201,-0.005165371305012098,128.0,0.3665854334831238,1.0,-0.2123076923076923,False,No difference
accuracy,qwen,appod,H10,H18,25,25,7.173706809430005e-15,-0.0119760479041916,-0.011803746676843809,107.0,0.14091521501541138,1.0,-0.3415384615384615,False,No difference
accuracy,qwen,appod,H10,H20,25,25,7.173706809430005e-15,-0.00928505106778088,-0.0007994413134810329,148.0,0.7111607789993286,1.0,-0.08923076923076922,False,No difference
accuracy,qwen,appod,H10,H22,25,25,7.173706809430005e-15,-0.009514747859181716,-0.006660861656487886,120.0,0.2634761333465576,1.0,-0.26153846153846155,False,No difference
accuracy,qwen,appod,H10,H24,25,24,7.173706809430005e-15,-0.01187214611872145,-0.012161992569319949,71.0,0.023999149663337077,1.0,-0.5266666666666666,False,No difference
accuracy,qwen,appod,H10,H26,25,24,7.173706809430005e-15,-0.01200686106346488,-0.015241254871431348,61.0,0.010995017215527,0.670696050147147,-0.5933333333333334,False,No difference
accuracy,qwen,appod,H10,H28,25,24,7.173706809430005e-15,-0.012786002691790088,-0.015643795662159878,59.0,0.0093187727482053,0.5964014558851392,-0.6066666666666667,False,No difference
accuracy,qwen,appod,H10,H30,25,25,7.173706809430005e-15,-0.013184584178498937,-0.02077089025884157,52.0,0.002025127410888672,0.18226146697998047,-0.68,False,No difference
accuracy,qwen,appod,H10,H32,25,25,7.173706809430005e-15,-0.017094017094017033,-0.024326000872243573,55.0,0.0027848482131958008,0.22835755348205566,-0.6615384615384615,False,No difference
accuracy,qwen,appod,H12,H14,25,24,7.173706809430005e-15,-0.006105006105006083,-0.00790753306103124,48.0,0.0035650346308531587,0.2673775973139869,-0.68,False,No difference
accuracy,qwen,appod,H12,H16,25,24,7.173706809430005e-15,-0.0029239766081871066,-0.0034911678131215097,95.0,0.11608313373865504,1.0,-0.36666666666666664,False,No difference
accuracy,qwen,appod,H12,H18,25,24,7.173706809430005e-15,-0.006654567453115545,-0.01012954318495322,78.0,0.03967248626597541,1.0,-0.48,False,No difference
accuracy,qwen,appod,H12,H20,25,23,7.173706809430005e-15,-0.003629764065335661,0.0008747621784095561,137.0,0.975736119417176,1.0,0.007246376811594203,False,No difference
accuracy,qwen,appod,H12,H22,25,25,7.173706809430005e-15,-0.00510677808727944,-0.004986658164597297,111.0,0.17295855283737183,1.0,-0.3169230769230769,False,No difference
accuracy,qwen,appod,H12,H24,25,25,7.173706809430005e-15,-0.007751937984496138,-0.010487789077429359,50.0,0.001625359058380127,0.1560344696044922,-0.6923076923076923,False,No difference
accuracy,qwen,appod,H12,H26,25,25,7.173706809430005e-15,-0.008547008547008517,-0.01356705137954076,53.0,0.002255260944366455,0.19664282073067965,-0.6738461538461539,False,No difference
