metric,approach,history,history_frames,unique_winner,winner_code,decision_reason
entropy,appod,H18,18,qwen,Q,Significantly better than both alternatives
entropy,appod,H20,20,qwen,Q,Significantly better than both alternatives
entropy,appod,H22,22,qwen,Q,Significantly better than both alternatives
entropy,appod,H24,24,No unique winner,—,No model significantly beat both alternatives
entropy,appod,H26,26,No unique winner,—,No model significantly beat both alternatives
entropy,appod,H28,28,No unique winner,—,Omnibus not significant
entropy,appod,H30,30,No unique winner,—,No model significantly beat both alternatives
entropy,appod,H32,32,No unique winner,—,No model significantly beat both alternatives
ece,appfr,H02,2,No unique winner,—,No model significantly beat both alternatives
ece,appfr,H04,4,No unique winner,—,No model significantly beat both alternatives
ece,appfr,H06,6,qwen,Q,Significantly better than both alternatives
ece,appfr,H08,8,qwen,Q,Significantly better than both alternatives
ece,appfr,H10,10,qwen,Q,Significantly better than both alternatives
ece,appfr,H12,12,qwen,Q,Significantly better than both alternatives
ece,appfr,H14,14,No unique winner,—,No model significantly beat both alternatives
ece,appfr,H16,16,qwen,Q,Significantly better than both alternatives
ece,appfr,H18,18,qwen,Q,Significantly better than both alternatives
ece,appfr,H20,20,qwen,Q,Significantly better than both alternatives
ece,appfr,H22,22,qwen,Q,Significantly better than both alternatives
ece,appfr,H24,24,qwen,Q,Significantly better than both alternatives
ece,appfr,H26,26,qwen,Q,Significantly better than both alternatives
ece,appfr,H28,28,qwen,Q,Significantly better than both alternatives
ece,appfr,H30,30,qwen,Q,Significantly better than both alternatives
ece,appfr,H32,32,qwen,Q,Significantly better than both alternatives
ece,appod,H02,2,No unique winner,—,No model significantly beat both alternatives
ece,appod,H04,4,No unique winner,—,No model significantly beat both alternatives
ece,appod,H06,6,No unique winner,—,No model significantly beat both alternatives
ece,appod,H08,8,No unique winner,—,No model significantly beat both alternatives
ece,appod,H10,10,No unique winner,—,No model significantly beat both alternatives
ece,appod,H12,12,No unique winner,—,No model significantly beat both alternatives
ece,appod,H14,14,No unique winner,—,No model significantly beat both alternatives
ece,appod,H16,16,No unique winner,—,No model significantly beat both alternatives
ece,appod,H18,18,No unique winner,—,No model significantly beat both alternatives
ece,appod,H20,20,No unique winner,—,No model significantly beat both alternatives
ece,appod,H22,22,No unique winner,—,No model significantly beat both alternatives
ece,appod,H24,24,No unique winner,—,No model significantly beat both alternatives
ece,appod,H26,26,No unique winner,—,No model significantly beat both alternatives
ece,appod,H28,28,No unique winner,—,No model significantly beat both alternatives
ece,appod,H30,30,No unique winner,—,No model significantly beat both alternatives
ece,appod,H32,32,No unique winner,—,No model significantly beat both alternatives
mce,appfr,H02,2,No unique winner,—,No model significantly beat both alternatives
mce,appfr,H04,4,No unique winner,—,Omnibus not significant
mce,appfr,H06,6,No unique winner,—,Omnibus not significant
mce,appfr,H08,8,No unique winner,—,Omnibus not significant
mce,appfr,H10,10,No unique winner,—,Omnibus not significant
mce,appfr,H12,12,No unique winner,—,Omnibus not significant
mce,appfr,H14,14,No unique winner,—,Omnibus not significant
mce,appfr,H16,16,No unique winner,—,Omnibus not significant
mce,appfr,H18,18,No unique winner,—,No model significantly beat both alternatives
mce,appfr,H20,20,No unique winner,—,Omnibus not significant
mce,appfr,H22,22,No unique winner,—,Omnibus not significant
mce,appfr,H24,24,No unique winner,—,No model significantly beat both alternatives
mce,appfr,H26,26,No unique winner,—,No model significantly beat both alternatives
mce,appfr,H28,28,qwen,Q,Significantly better than both alternatives
mce,appfr,H30,30,No unique winner,—,No model significantly beat both alternatives
mce,appfr,H32,32,No unique winner,—,No model significantly beat both alternatives
mce,appod,H02,2,No unique winner,—,No model significantly beat both alternatives
mce,appod,H04,4,No unique winner,—,Omnibus not significant
mce,appod,H06,6,qwen,Q,Significantly better than both alternatives
mce,appod,H08,8,qwen,Q,Significantly better than both alternatives
mce,appod,H10,10,qwen,Q,Significantly better than both alternatives
mce,appod,H12,12,No unique winner,—,Omnibus not significant
mce,appod,H14,14,qwen,Q,Significantly better than both alternatives
mce,appod,H16,16,No unique winner,—,Omnibus not significant
mce,appod,H18,18,qwen,Q,Significantly better than both alternatives
mce,appod,H20,20,qwen,Q,Significantly better than both alternatives
mce,appod,H22,22,qwen,Q,Significantly better than both alternatives
mce,appod,H24,24,qwen,Q,Significantly better than both alternatives
mce,appod,H26,26,No unique winner,—,No model significantly beat both alternatives
mce,appod,H28,28,No unique winner,—,No model significantly beat both alternatives
mce,appod,H30,30,No unique winner,—,Omnibus not significant
mce,appod,H32,32,No unique winner,—,Omnibus not significant
