metric,direction,approach,history,history_frames,n_complete_bags,test_performed,qwen_median_original,internvl_median_original,llava_median_original,qwen_median_oriented,internvl_median_oriented,llava_median_oriented,best_median_model,friedman_chi2,degrees_of_freedom,raw_p,kendalls_w,holm_p,significant_holm
msp,higher positive correctness correlation is better,appfr,H24,24,10,True,0.17867685440868003,-0.04901718859569382,0.23641216998177236,0.17867685440868003,-0.04901718859569382,0.23641216998177236,llava,7.400000000000006,2,0.02472352647033933,0.3700000000000003,0.04944705294067866,True
msp,higher positive correctness correlation is better,appfr,H26,26,21,True,0.22240703670193257,-0.6867840519284779,0.2270524595636914,0.22240703670193257,-0.6867840519284779,0.2270524595636914,llava,28.66666666666663,2,5.958163628790348e-07,0.6825396825396817,9.533061806064557e-06,True
msp,higher positive correctness correlation is better,appfr,H28,28,22,True,0.18000862973771292,-0.556166980663459,0.22703370556819008,0.18000862973771292,-0.556166980663459,0.22703370556819008,llava,22.181818181818187,2,1.5250334954705282e-05,0.5041322314049588,0.00015250334954705283,True
msp,higher positive correctness correlation is better,appfr,H30,30,24,True,0.21501205658643985,-0.5431335249126257,0.22535747646643636,0.21501205658643985,-0.5431335249126257,0.22535747646643636,llava,25.0,2,3.7266531720786718e-06,0.5208333333333334,5.589979758118008e-05,True
msp,higher positive correctness correlation is better,appfr,H32,32,23,True,0.21693055587071117,-0.4978158542829432,0.2316935768014094,0.21693055587071117,-0.4978158542829432,0.2316935768014094,llava,24.086956521739125,2,5.882796811821458e-06,0.5236294896030245,6.506698044760981e-05,True
msp,higher positive correctness correlation is better,appod,H02,2,23,True,0.26201102843412244,-0.03176554173185078,-0.008343162818123556,0.26201102843412244,-0.03176554173185078,-0.008343162818123556,qwen,19.043478260869563,2,7.324217582596509e-05,0.4139886578449905,0.0005859374066077207,True
msp,higher positive correctness correlation is better,appod,H04,4,21,True,0.18167389237365328,-0.043101523445724044,0.08247802215496028,0.18167389237365328,-0.043101523445724044,0.08247802215496028,qwen,18.66666666666663,2,8.842698865988468e-05,0.44444444444444353,0.0006189889206191928,True
msp,higher positive correctness correlation is better,appod,H06,6,23,True,0.20684067926135868,-0.19821365110515882,0.10866452936570908,0.20684067926135868,-0.19821365110515882,0.10866452936570908,qwen,10.782608695652186,2,0.004556026814740878,0.23440453686200405,0.02278013407370439,True
msp,higher positive correctness correlation is better,appod,H08,8,23,True,0.22788673059701908,-0.22604350285099364,0.10053742267033419,0.22788673059701908,-0.22604350285099364,0.10053742267033419,qwen,17.30434782608694,2,0.00017474655113428698,0.3761814744801509,0.0010484793068057218,True
msp,higher positive correctness correlation is better,appod,H10,10,23,True,0.27106010802984937,-0.15275336601685002,0.08176215419497958,0.27106010802984937,-0.15275336601685002,0.08176215419497958,qwen,28.260869565217376,2,7.298441763757493e-07,0.6143667296786386,8.758130116508991e-06,True
msp,higher positive correctness correlation is better,appod,H12,12,23,True,0.23663352572179072,-0.15460528422073,0.08804534159631708,0.23663352572179072,-0.15460528422073,0.08804534159631708,qwen,33.6521739130435,2,4.926327529457386e-08,0.7315689981096413,7.882124047131818e-07,True
msp,higher positive correctness correlation is better,appod,H14,14,23,True,0.21360269082610162,-0.05674349562565319,0.10319432761129774,0.21360269082610162,-0.05674349562565319,0.10319432761129774,qwen,28.434782608695627,2,6.690605288207315e-07,0.6181474480151223,8.69778687466951e-06,True
msp,higher positive correctness correlation is better,appod,H16,16,23,True,0.2509260498628568,-0.04293539397722632,0.12631535748847117,0.2509260498628568,-0.04293539397722632,0.12631535748847117,qwen,20.956521739130437,2,2.8141621943839844e-05,0.4555765595463139,0.0002532745974945586,True
