metric,direction,approach,history,history_frames,friedman_holm_p,model_1,model_2,n_pairs,median_oriented_difference_model1_minus_model2,wilcoxon_statistic,raw_p,rank_biserial_model1_minus_model2,descriptive_better_model,holm_p,significant_holm,significant_better_model
msp,higher positive correctness correlation is better,appod,H10,10,8.758130116508991e-06,qwen,internvl,23,0.5503321366425629,18.0,6.031990051269531e-05,0.8695652173913043,qwen,0.00012063980102539062,True,qwen
msp,higher positive correctness correlation is better,appod,H10,10,8.758130116508991e-06,qwen,llava,23,0.055784664856070726,0.0,2.384185791015625e-07,1.0,qwen,7.152557373046875e-07,True,qwen
msp,higher positive correctness correlation is better,appod,H10,10,8.758130116508991e-06,internvl,llava,23,-0.1734063287874415,34.0,0.0008494853973388672,-0.7536231884057971,llava,0.0008494853973388672,True,llava
msp,higher positive correctness correlation is better,appod,H12,12,7.882124047131818e-07,qwen,internvl,23,0.48615584201866735,3.0,1.1920928955078125e-06,0.9782608695652174,qwen,2.384185791015625e-06,True,qwen
msp,higher positive correctness correlation is better,appod,H12,12,7.882124047131818e-07,qwen,llava,23,0.11300352358907167,2.0,7.152557373046875e-07,0.9855072463768116,qwen,2.1457672119140625e-06,True,qwen
msp,higher positive correctness correlation is better,appod,H12,12,7.882124047131818e-07,internvl,llava,23,-0.2627581807406268,27.0,0.0002980232238769531,-0.8043478260869565,llava,0.0002980232238769531,True,llava
msp,higher positive correctness correlation is better,appod,H14,14,8.69778687466951e-06,qwen,internvl,23,0.2782370237976256,6.0,3.337860107421875e-06,0.9565217391304348,qwen,1.0013580322265625e-05,True,qwen
msp,higher positive correctness correlation is better,appod,H14,14,8.69778687466951e-06,qwen,llava,23,0.12251684109222728,18.0,6.031990051269531e-05,0.8695652173913043,qwen,0.00012063980102539062,True,qwen
msp,higher positive correctness correlation is better,appod,H14,14,8.69778687466951e-06,internvl,llava,23,-0.15209208687671383,30.0,0.00047516822814941406,-0.782608695652174,llava,0.00047516822814941406,True,llava
msp,higher positive correctness correlation is better,appod,H16,16,0.0002532745974945586,qwen,internvl,23,0.2409264231666184,6.0,3.337860107421875e-06,0.9565217391304348,qwen,1.0013580322265625e-05,True,qwen
msp,higher positive correctness correlation is better,appod,H16,16,0.0002532745974945586,qwen,llava,23,0.09453935347713174,26.0,0.00025343894958496094,0.8115942028985508,qwen,0.0005068778991699219,True,qwen
msp,higher positive correctness correlation is better,appod,H16,16,0.0002532745974945586,internvl,llava,23,-0.14127285080634197,35.0,0.0009758472442626953,-0.7463768115942029,llava,0.0009758472442626953,True,llava
msp,higher positive correctness correlation is better,appod,H18,18,5.005399755495953e-06,qwen,internvl,23,0.3066498921226729,4.0,1.6689300537109375e-06,0.9710144927536232,qwen,5.0067901611328125e-06,True,qwen
msp,higher positive correctness correlation is better,appod,H18,18,5.005399755495953e-06,qwen,llava,23,0.1363859146500371,20.0,8.845329284667969e-05,0.855072463768116,qwen,8.845329284667969e-05,True,qwen
msp,higher positive correctness correlation is better,appod,H18,18,5.005399755495953e-06,internvl,llava,23,-0.2123167194881899,15.0,3.266334533691406e-05,-0.8913043478260869,llava,6.532669067382812e-05,True,llava
msp,higher positive correctness correlation is better,appod,H20,20,5.005399755495953e-06,qwen,internvl,23,0.40890878982128975,5.0,2.384185791015625e-06,0.9637681159420289,qwen,7.152557373046875e-06,True,qwen
msp,higher positive correctness correlation is better,appod,H20,20,5.005399755495953e-06,qwen,llava,23,0.10690909607390296,18.0,6.031990051269531e-05,0.8695652173913043,qwen,0.00012063980102539062,True,qwen
msp,higher positive correctness correlation is better,appod,H20,20,5.005399755495953e-06,internvl,llava,23,-0.2381364679512755,19.0,7.319450378417969e-05,-0.8623188405797102,llava,0.00012063980102539062,True,llava
msp,higher positive correctness correlation is better,appod,H22,22,3.3708622219675547e-05,qwen,internvl,23,0.3401450405312264,7.0,4.5299530029296875e-06,0.9492753623188406,qwen,1.3589859008789062e-05,True,qwen
msp,higher positive correctness correlation is better,appod,H22,22,3.3708622219675547e-05,qwen,llava,23,0.10099763250892302,22.0,0.0001277923583984375,0.8405797101449275,qwen,0.00017690658569335938,True,qwen
msp,higher positive correctness correlation is better,appod,H22,22,3.3708622219675547e-05,internvl,llava,23,-0.22710779612485557,20.0,8.845329284667969e-05,-0.855072463768116,llava,0.00017690658569335938,True,llava
msp,higher positive correctness correlation is better,appod,H24,24,7.000246344958146e-05,qwen,internvl,23,0.3421256038927407,6.0,3.337860107421875e-06,0.9565217391304348,qwen,1.0013580322265625e-05,True,qwen
msp,higher positive correctness correlation is better,appod,H24,24,7.000246344958146e-05,qwen,llava,23,0.07474028644998867,48.0,0.004851341247558594,0.6521739130434783,qwen,0.004851341247558594,True,qwen
msp,higher positive correctness correlation is better,appod,H24,24,7.000246344958146e-05,internvl,llava,23,-0.27841054208849547,15.0,3.266334533691406e-05,-0.8913043478260869,llava,6.532669067382812e-05,True,llava
msp,higher positive correctness correlation is better,appod,H32,32,0.03207133638074137,qwen,internvl,23,0.13609594713467812,47.0,0.004338979721069336,0.6594202898550725,qwen,0.013016939163208008,True,qwen
msp,higher positive correctness correlation is better,appod,H32,32,0.03207133638074137,qwen,llava,23,0.04614333256718792,67.0,0.030086994171142578,0.5144927536231884,qwen,0.060173988342285156,False,No difference
msp,higher positive correctness correlation is better,appod,H32,32,0.03207133638074137,internvl,llava,23,-0.04855083136324661,82.0,0.09175300598144531,-0.4057971014492754,llava,0.09175300598144531,False,No difference
pcs,higher positive correctness correlation is better,appfr,H02,2,0.00044572031417065117,qwen,internvl,23,0.3376219647235296,15.0,3.266334533691406e-05,0.8913043478260869,qwen,9.799003601074219e-05,True,qwen
pcs,higher positive correctness correlation is better,appfr,H02,2,0.00044572031417065117,qwen,llava,23,0.2509473954725946,20.0,8.845329284667969e-05,0.855072463768116,qwen,0.00017690658569335938,True,qwen
